time	x	y	orientation_z	orientation_w	linear_vel	angular_vel
2160.03	-9.0011	-1.89837	0.685971	0.727627	0.550299	-0.318058
2160.23	-8.99004	-1.75304	0.66636	0.745604	0.82242	-0.367032
2160.43	-8.9753	-1.63417	0.647514	0.761992	0.818208	-0.322382
2160.73	-8.93072	-1.39166	0.602518	0.797931	0.853371	-0.334884
2161.03	-8.8593	-1.14118	0.551649	0.833737	0.913177	-0.331156
2161.33	-8.75121	-0.903672	0.500393	0.86522	0.98923	-0.367805
2161.53	-8.65833	-0.73609	0.473105	0.880227	0.953568	-0.214462
2161.73	-8.55375	-0.581509	0.452224	0.890893	1.00819	-0.189306
2161.93	-8.43665	-0.428252	0.434145	0.899568	0.978668	-0.171115
2162.13	-8.32784	-0.291373	0.434596	0.899105	0.876522	0.131695
2162.33	-8.22653	-0.156796	0.437665	0.897364	0.845494	0.140258
2162.53	-8.13267	-0.0376055	0.416548	0.907138	0.856669	-0.429996
2162.83	-7.97705	0.152117	0.416152	0.906918	0.866767	0.149927
2163.03	-7.90389	0.248408	0.422603	0.903681	0.876421	0.159519
2163.33	-7.74361	0.448593	0.43286	0.89831	0.863899	0.149068
2163.53	-7.64624	0.584314	0.436408	0.896235	0.859377	0.146929
2163.73	-7.54267	0.719452	0.441459	0.893377	0.84846	0.138104
2163.93	-7.44366	0.851692	0.446847	0.890315	0.850237	0.148964
2164.13	-7.34985	0.976739	0.449683	0.888479	0.844399	0.155065
2164.33	-7.25183	1.11282	0.45344	0.886136	0.838265	0.148886
2164.63	-7.11124	1.31346	0.458726	0.88276	0.799063	0.141975
2164.83	-7.01368	1.43544	0.462396	0.88039	0.816008	0.152502
2165.13	-6.88008	1.63797	0.467195	0.877141	0.842026	0.151011
2165.33	-6.78752	1.77174	0.471196	0.874489	0.815792	0.139838
2165.53	-6.72437	1.87547	0.472297	0.873525	0.79011	0.131119
2165.73	-6.63761	2.01394	0.475847	0.871053	0.800999	0.18488
2166.03	-6.51546	2.20751	0.481118	0.867424	0.706142	0.203098
2166.23	-6.44728	2.3205	0.487559	0.863457	0.632999	0.21555
2166.43	-6.38684	2.42398	0.49503	0.858923	0.577381	0.22766
2166.63	-6.33218	2.51224	0.50403	0.853499	0.504234	0.237793
2166.93	-6.25137	2.61203	0.516993	0.84562	0.433595	0.260113
2167.13	-6.22272	2.67385	0.529298	0.838069	0.393573	0.269334
2167.43	-6.1827	2.77053	0.543084	0.82932	0.288814	0.203248
2167.63	-6.14979	2.83745	0.550695	0.824481	0.293517	0.225926
2167.83	-6.14075	2.8655	0.555815	0.821322	0	0
2168.03	-6.13135	2.89046	0.562782	0.816806	0.19709	0.242926
2168.23	-6.11519	2.93225	0.57308	0.810003	0.101712	0.169843
2168.43	-6.11055	2.94678	0.574857	0.809112	0.201025	0.0472375
