time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel	controller_flag
85.219	-0.0158253	-0.871454	0.00322122	-0.00219938	0.768081	0.640341	0.740854	1.67723	1
85.419	-0.0472816	-0.782701	0.0048271	-0.00318208	0.819382	0.573218	0.527495	1.50319	1
85.619	-0.140215	-0.679622	0.006772	-0.00385378	0.871986	0.489469	0.556776	1.19093	1
85.819	-0.237066	-0.565337	0.00893081	-0.0041961	0.907493	0.419951	0.631228	0.922446	1
86.019	-0.333204	-0.465089	0.0115665	-0.00436651	0.93564	0.352739	0.677391	0.917279	1
86.219	-0.422276	-0.385059	0.0145517	-0.00442526	0.955545	0.294452	0.70529	0.645209	1
86.419	-0.557972	-0.314234	0.0179316	-0.00480626	0.964434	0.263671	0.740168	0.497024	1
86.619	-0.693141	-0.241419	0.0214478	-0.00479289	0.974022	0.225383	0.753133	0.719263	1
86.82	-0.831199	-0.181091	0.0249766	-0.00469881	0.980875	0.192971	0.715458	0.538431	1
87.019	-0.979543	-0.138852	0.0287058	-0.00480138	0.98433	0.173919	0.754818	0.430193	1
87.219	-1.1299	-0.0882326	0.0326804	-0.00516874	0.985834	0.164426	0.763344	0.32975	1
87.419	-1.27863	-0.0405349	0.0365107	-0.00606806	0.985706	0.164357	0.344422	-0.413834	2
87.619	-1.33155	-0.0105435	0.0364994	-0.00729617	0.97992	0.195885	0.429099	-0.46621	2
87.819	-1.40609	0.0218298	0.0367363	-0.00875479	0.971868	0.232478	0.406337	-0.285697	2
88.019	-1.45687	0.047504	0.0366379	-0.00951441	0.967086	0.251619	0.355793	-0.166915	2
88.219	-1.51297	0.0800087	0.0361989	-0.0100774	0.962572	0.268409	0.301399	-0.0383139	2
88.42	-1.56276	0.109746	0.0353836	-0.0100779	0.960955	0.274248	0.25475	0.13756	2
88.619	-1.60497	0.135298	0.0342871	-0.00945759	0.963144	0.266626	0.219263	0.266243	2
88.819	-1.66241	0.156113	0.0328546	-0.0088703	0.964429	0.262142	0.179536	0.337136	2
89.019	-1.69471	0.174269	0.0313102	-0.00765293	0.970345	0.239566	0.195579	0.356241	2
89.219	-1.69273	0.201385	0.0299755	-0.0064042	0.976847	0.21173	0.210836	0.32812	2
89.419	-1.73259	0.218304	0.0286708	-0.00551489	0.98089	0.192358	0.22268	0.311084	2
89.619	-1.77431	0.234047	0.027421	-0.00475211	0.984205	0.174831	0.22207	0.307355	2
89.819	-1.82239	0.21498	0.0261984	-0.0038978	0.988029	0.151977	0.151449	0.576786	2
90.019	-1.85195	0.223465	0.0243	-0.00252675	0.993686	0.109502	0.170263	0.620054	2
90.22	-1.88893	0.230141	0.0227291	-0.0013691	0.99741	0.068232	0.230951	0.474497	2
90.419	-1.9169	0.238684	0.0215735	-0.000550724	0.999172	0.0344793	0.212614	0.46004	2
90.619	-1.94793	0.239919	0.0206159	-7.79474e-05	0.999708	0.0125806	0.190657	0.46684	2
90.819	-1.98704	0.239489	0.0192	0.000490973	0.999678	-0.0165798	0	1	3
91.019	-2.01235	0.247172	0.0167992	0.00135637	0.997356	-0.0706953	0.189509	0.325671	2
91.219	-2.03672	0.244989	0.0144294	0.00198877	0.993124	-0.116157	0.210251	0.38873	2
91.419	-2.07918	0.235248	0.0132164	0.00199469	0.989397	-0.144621	0.217671	0.20742	2
91.619	-2.17259	0.228479	0.0119761	0.00192446	0.987152	-0.159326	0.218716	0.130064	2
91.819	-2.21434	0.215166	0.0107475	0.00165143	0.986555	-0.163065	0.226627	-0.212906	2
92.02	-2.22414	0.150421	0.00951523	0.00141723	0.986361	-0.164316	0.22586	-0.174791	2
92.219	-2.26604	0.137122	0.00830942	0.00111225	0.987688	-0.156214	0.227305	-0.252082	2
92.419	-2.30824	0.124651	0.0071297	0.000801202	0.989549	-0.144019	0.227405	-0.2522	2
92.619	-2.34902	0.111252	0.00597289	0.000518006	0.991272	-0.131698	0.225991	-0.180386	2
92.819	-2.39177	0.100842	0.00480688	0.00033734	0.992179	-0.124726	0.226188	-0.190164	2
93.019	-2.42398	0.0934618	0.00390979	0.000192838	0.993044	-0.117679	0.227261	-0.221352	2
93.219	-2.46388	0.0827703	0.00278622	5.33978e-05	0.994101	-0.108426	0.233132	-0.48813	2
93.419	-2.50736	0.0747329	0.0017618	-0.000125434	0.996693	-0.0812432	0.22925	-0.466232	2
93.619	-2.55057	0.0694148	0.00074937	-0.000205354	0.998608	-0.0527474	0.219624	-0.385603	2
93.819	-2.58241	0.0458273	0.000409095	-1.21739e-05	0.999571	-0.029283	0.218417	-0.369806	2
94.019	-2.62403	0.0446912	0.000314469	-9.13313e-06	0.999988	-0.00498711	0.216678	-0.341321	2
94.219	-2.67452	0.0579584	0.000342356	2.70923e-05	0.999843	0.0176958	0.215166	-0.304834	2
94.419	-2.76348	0.127004	0.000263524	-1.41098e-05	0.998937	0.0460947	0.214231	-0.26086	2
94.619	-2.80428	0.131157	0.000294842	-3.24806e-05	0.997972	0.0636522	0.214102	-0.245777	2
94.819	-2.84645	0.13861	0.000305675	4.52615e-05	0.996709	0.0810569	0.214192	-0.203557	2
95.019	-2.88696	0.145057	0.000340021	2.36435e-05	0.995343	0.0963988	0.214718	-0.168657	2
95.219	-2.92746	0.152503	0.000334583	-5.41256e-05	0.993933	0.109984	0.215021	-0.155145	2
95.419	-2.91091	0.159477	0.000307863	1.77557e-05	0.995094	0.0989328	0.217564	0.322518	2
95.619	-2.94409	0.164874	0.000310869	-1.99863e-05	0.996188	0.0872302	0.376192	-0.305238	2
95.819	-3.01353	0.177606	0.00103334	-0.000352415	0.993675	0.112293	0.442677	-0.752383	2
96.019	-3.1412	0.210951	0.00236154	-0.000545241	0.985343	0.170568	0.469273	-0.639625	2
