time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel	controller_flag
273.839	-0.0598689	0.107055	0.00246659	-0.0034294	0.680138	0.733072	0.8	-1.5	1
274.039	-0.0430201	0.22237	0.00474644	-0.00637964	0.628686	0.777618	0.8	-0.900126	1
274.239	-0.00170902	0.351517	0.00719966	-0.0101189	0.575358	0.817807	0.8	-0.464436	1
274.439	0.0541905	0.496827	0.0090297	-0.0136121	0.548205	0.836184	0.760801	0.10184	1
274.64	0.184291	0.65876	0.0108999	-0.0165998	0.545396	0.837943	0.740868	0.219929	1
274.839	0.240888	0.793148	0.0129354	-0.0192193	0.553846	0.832297	0.724425	0.365385	1
275.04	0.280739	0.921918	0.0149649	-0.0217347	0.563058	0.825996	0.728942	0.311115	1
275.239	0.334127	1.06601	0.0171564	-0.0247231	0.565677	0.824078	0.797146	0.134062	1
275.439	0.389291	1.21195	0.0191141	-0.0280144	0.559487	0.828145	0.8	0.214822	1
275.64	0.414866	1.35085	0.0209936	-0.031154	0.55477	0.831155	0.760469	0.273323	1
275.839	0.470517	1.49134	0.0231089	-0.0339904	0.558266	0.828643	0.74923	0.270716	1
276.039	0.516184	1.62403	0.0253105	-0.0364855	0.566144	0.823109	0.725118	0.369157	1
276.239	0.564615	1.76785	0.0275976	-0.0394564	0.569788	0.82038	0.794713	0.125829	1
276.439	0.6183	1.91484	0.029589	-0.0427264	0.565914	0.822824	0.8	0.303018	1
276.639	0.657185	2.02061	0.0311441	-0.0449817	0.565959	0.822616	0.721309	0.411371	1
276.839	0.671545	2.14729	0.0338271	-0.0475133	0.576387	0.815093	0.8	0.152634	1
277.039	0.722595	2.29664	0.0359557	-0.0507681	0.574388	0.816216	0.776781	0.350221	1
277.239	0.772149	2.44529	0.0387055	-0.0534791	0.582496	0.810148	0.781524	0.384691	1
277.439	0.921657	2.582	0.0417219	-0.0558434	0.594553	0.801029	0.699374	0.565503	1
277.639	0.95973	2.7261	0.044983	-0.0577554	0.61035	0.788742	0.720742	0.395142	1
277.839	0.960741	2.87167	0.0478533	-0.0603996	0.616902	0.783259	0.8	0.362986	1
