time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel
225.05	-9.00314	-8.99431	-0.00040791	0.000483114	0.702096	0.712082	0.0776744	-0.111011
225.25	-9.003	-8.97321	-0.000200276	0.000285865	0.697561	0.716526	0.151588	-0.0753579
225.45	-9.00234	-8.93811	0.00028398	-0.000315395	0.693196	0.720749	0.205314	-0.0749394
225.65	-8.99106	-8.89746	0.000392218	-0.000370703	0.690037	0.723774	0.262637	-0.0536945
225.85	-8.9886	-8.84047	0.000441418	-0.000498144	0.685996	0.727605	0.321925	-0.0931296
226.05	-8.98473	-8.77671	0.000453481	-0.000583792	0.680222	0.733006	0.331845	-0.10089
226.25	-8.98137	-8.72779	0.000505398	-0.000615745	0.67554	0.737323	0.327253	-0.0938914
226.45	-8.97256	-8.66503	0.000562894	-0.000652778	0.669024	0.74324	0.336139	-0.102776
226.65	-8.96691	-8.59877	0.000648413	-0.000759798	0.661528	0.749919	0.334831	-0.10747
226.85	-8.95021	-8.52852	0.000718488	-0.000807547	0.655519	0.755178	0.335973	-0.104714
227.05	-8.94345	-8.4641	0.000732901	-0.000812379	0.648178	0.761488	0.341548	-0.102278
227.25	-8.93403	-8.3978	0.000803985	-0.000896569	0.638513	0.76961	0.344169	-0.100815
227.45	-8.92022	-8.3424	0.000881832	-0.000965277	0.628849	0.777526	0.346025	-0.0985566
227.65	-8.89541	-8.32813	0.000846623	-0.000950521	0.621456	0.783448	0.34005	-0.0829964
227.85	-8.88161	-8.26362	0.000818708	-0.000973543	0.61144	0.79129	0.337018	-0.0892934
228.05	-8.8337	-8.2287	0.000809126	-0.000963881	0.603998	0.796985	0.338352	-0.0897024
228.25	-8.81791	-8.16435	0.000787708	-0.000948325	0.594002	0.804463	0.343187	-0.0800956
228.45	-8.80006	-8.10034	0.000737216	-0.000915597	0.583565	0.812065	0.336593	-0.0737821
228.65	-8.80254	-7.99392	0.000650284	-0.000853373	0.570842	0.821059	0.333981	-0.087926
228.85	-8.78871	-7.94525	0.000596151	-0.000776827	0.562635	0.826705	0.336322	-0.106887
229.05	-8.76923	-7.88163	0.000527671	-0.000705532	0.551443	0.834212	0.338865	-0.0784382
229.25	-8.77723	-7.77463	0.000418236	-0.00058359	0.534831	0.844959	0.338638	-0.0891391
229.45	-8.7519	-7.71374	0.000299118	-0.000424565	0.523845	0.851813	0.338192	-0.071821
229.65	-8.72271	-7.65482	0.000267211	-0.000399792	0.514294	0.857614	0.334331	-0.069493
229.85	-8.68852	-7.59099	0.000232387	-0.000351724	0.506972	0.861963	0.345665	-0.0987298
230.05	-8.65815	-7.53269	0.000256062	-0.00040835	0.496756	0.86789	0.339568	-0.0835808
230.25	-8.62331	-7.47783	0.000233821	-0.000408365	0.487041	0.873379	0.341746	-0.0794155
230.45	-8.58272	-7.42925	0.000187875	-0.000374415	0.477201	0.878794	0.34354	-0.073095
230.65	-8.54769	-7.37372	0.000198529	-0.000369498	0.469303	0.883037	0.332338	-0.0624036
230.85	-8.52126	-7.31419	0.000245472	-0.000452085	0.460547	0.887635	0.341059	-0.0596852
231.05	-8.49287	-7.25478	0.00023705	-0.000432059	0.451813	0.892112	0.338174	-0.0743001
231.25	-8.46458	-7.21355	0.000184569	-0.000447238	0.445987	0.895039	0.338985	-0.079398
231.45	-8.42089	-7.16469	0.000206549	-0.000437289	0.440151	0.897923	0.333645	-0.0779289
231.65	-8.3835	-7.11046	0.000141883	-0.000435622	0.432836	0.901473	0.328337	-0.0555549
231.851	-8.34328	-7.05986	0.000136406	-0.000420962	0.4271	0.904204	0.331118	-0.0624271
232.05	-8.31877	-7.01136	0.000230979	-0.000378821	0.420733	0.907184	0.33389	-0.0612374
