time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel
268.467	-0.00152094	-5.99233	-0.000339545	0.000433092	0.696655	0.717406	0.0556443	-0.29735
268.667	-0.00152722	-5.97778	-0.000340252	0.000361686	0.679396	0.733772	0.119366	-0.311304
268.868	-0.00024423	-5.94992	0.000267148	-0.000223607	0.661474	0.749968	0.169906	-0.289486
269.067	0.0265195	-5.91036	0.000378727	-0.000351032	0.648458	0.761251	0.242212	-0.302424
269.267	0.0351976	-5.85709	0.000398348	-0.000488366	0.631511	0.775367	0.309565	-0.291148
269.467	0.0480832	-5.79205	0.000530258	-0.000663569	0.612158	0.790735	0.368371	-0.282728
269.667	0.0848937	-5.74669	0.000697292	-0.00088064	0.599299	0.800525	0.401433	-0.266485
269.867	0.109351	-5.67072	0.00101651	-0.00138714	0.57745	0.816424	0.433385	-0.240226
270.067	0.138245	-5.58891	0.00144735	-0.00206381	0.554383	0.832258	0.471398	-0.259725
270.267	0.184661	-5.50486	0.00196704	-0.00303816	0.533177	0.845996	0.499288	-0.27404
270.467	0.227538	-5.4176	0.00247845	-0.00414722	0.508185	0.861235	0.504175	-0.278329
270.667	0.272736	-5.3359	0.00282135	-0.00509991	0.484681	0.874672	0.459388	-0.271041
270.868	0.305282	-5.25944	0.00294414	-0.00569217	0.462357	0.88667	0.426484	-0.240901
271.067	0.351444	-5.19367	0.00296496	-0.0060741	0.443369	0.896313	0.399313	-0.226369
271.267	0.39765	-5.13299	0.00288164	-0.00628006	0.426011	0.904691	0.392735	-0.221797
271.467	0.460672	-5.0844	0.00274718	-0.00629967	0.409635	0.912224	0.341996	-0.194794
271.667	0.502578	-5.03669	0.00247547	-0.00592969	0.396197	0.918143	0.297228	-0.159236
271.867	0.544067	-4.99115	0.0021834	-0.00549209	0.382612	0.92389	0.30958	-0.185922
272.067	0.576255	-4.96605	0.00194525	-0.0049852	0.376675	0.92633	0.27947	-0.152613
272.267	0.616102	-4.92859	0.00157009	-0.00424193	0.365998	0.930605	0.260684	-0.148808
272.467	0.6536	-4.89337	0.00118783	-0.0033473	0.355489	0.934674	0.25401	-0.144234
272.667	0.711336	-4.86253	0.000786862	-0.00235228	0.344463	0.938797	0.242131	-0.148127
272.867	0.746423	-4.83278	0.000362613	-0.00122725	0.334672	0.942334	0.226487	-0.146227
273.067	0.772003	-4.80773	0.000152472	-0.00026804	0.325822	0.945431	0.214854	-0.143355
273.267	0.782953	-4.78704	0.000135921	-0.000240719	0.316428	0.948617	0.188296	-0.117534
273.467	0.811635	-4.76618	6.36378e-05	-0.000260653	0.308346	0.951274	0.172477	-0.110286
273.667	0.839329	-4.74699	0.00012019	-0.000218198	0.300825	0.953679	0.178333	-0.131415
273.867	0.853842	-4.74498	-0.00018247	0.000504007	0.303434	0.952852	0.124879	-0.100298
274.067	0.872567	-4.73337	-0.000148415	0.000561318	0.299901	0.95397	0.14313	-0.0967446
274.267	0.896218	-4.71764	-0.000138062	0.000483854	0.292457	0.956279	0.152824	-0.118853
274.467	0.921651	-4.6885	-0.000104946	0.000544322	0.273163	0.961968	0.141019	-0.108908
274.667	0.937614	-4.67921	-0.000188311	0.00046758	0.268386	0.963311	0.121702	-0.0871889
274.867	0.958053	-4.66785	-0.000161251	0.000478247	0.262002	0.965067	0.117179	-0.0958971
275.067	0.970405	-4.65408	-0.000133887	0.000554946	0.255237	0.966878	0.11894	-0.0843139
275.267	0.989352	-4.64508	-0.000161361	0.000518684	0.250001	0.968246	0.103124	-0.0774108
275.467	1.00869	-4.64024	-0.000133654	0.000555257	0.24627	0.969201	0.102076	-0.0695704
275.667	1.02216	-4.63384	-0.000123881	0.000578176	0.239803	0.970821	0.085688	-0.106368
275.867	1.03874	-4.62607	-0.000115307	0.000530424	0.234871	0.972026	0.111331	-0.0816691
276.067	1.05146	-4.61749	-8.4294e-05	0.000548274	0.228069	0.973645	0.0957533	-0.111876
276.267	1.06816	-4.60997	-0.00010043	0.00059015	0.223022	0.974813	0.101626	-0.0870738
276.467	1.07985	-4.60482	-0.000141893	0.000490731	0.217433	0.976075	0.101135	0.0647922
276.667	1.09965	-4.59324	-0.000118459	0.000425492	0.221563	0.975146	0.158483	0.163738
276.867	1.13026	-4.58257	-4.92029e-05	0.000428282	0.238113	0.971237	0.170523	0.186872
277.067	1.16293	-4.57362	3.40821e-05	6.09997e-05	0.255885	0.966707	0.173969	0.216452
277.267	1.19059	-4.56913	0.000118039	-0.000290005	0.268461	0.96329	0.165461	0.216937
277.467	1.22325	-4.55993	8.6453e-05	-0.000307196	0.285476	0.958386	0.173078	0.329226
277.667	1.25515	-4.55023	0.00012744	-0.000279341	0.301966	0.953319	0.150206	0.174004
277.867	1.28644	-4.5433	7.73092e-05	-0.000260232	0.32045	0.947266	0.157339	0.322731
278.067	1.31704	-4.53178	9.728e-05	-0.000278449	0.34214	0.939649	0.155895	0.307746
278.267	1.33452	-4.54624	0.0001011	-0.000262069	0.360954	0.932583	0.142987	0.296147
278.467	1.35998	-4.53581	-0.000108961	0.000262763	0.375958	0.926637	0.129407	0.171313
278.667	1.38516	-4.52493	-0.000154347	0.000382909	0.395449	0.918488	0.12683	0.275484
278.867	1.38726	-4.48408	-0.000202294	0.000431689	0.412637	0.910896	0.136952	0.286144
279.067	1.41092	-4.47246	-0.000168954	0.000344859	0.431771	0.901983	0.114772	0.255446
279.267	1.43297	-4.46095	-0.000209963	0.000413481	0.445341	0.895361	0.147181	0.0926102
279.467	1.4526	-4.46003	-0.000165082	0.000395567	0.453187	0.891416	0	0
279.667	1.45444	-4.45708	-0.000219048	0.000528572	0.449882	0.893088	0.0611273	-0.106848
279.867	1.46166	-4.44654	-0.000214512	0.000543067	0.449882	0.893088	0.102046	0.0603002
280.067	1.47464	-4.41047	-0.000185172	0.000468324	0.450862	0.892593	0.148119	0.05297
280.267	1.49339	-4.38403	-8.26929e-05	0.000269363	0.451902	0.892067	0.191194	0.0244147
280.467	1.51384	-4.36535	4.06289e-05	5.20227e-05	0.452684	0.891671	0.212448	0.0304792
280.667	1.53294	-4.38855	0.000119764	-0.00023115	0.457481	0.889219	0.196369	0.0394562
280.867	1.55749	-4.3532	0.00021996	-0.000318808	0.459315	0.888273	0.231136	0.0476827
281.067	1.58315	-4.30923	0.000234276	-0.000304675	0.457837	0.889036	0.240026	0.0749572
281.267	1.61202	-4.26758	0.000241259	-0.000345706	0.462276	0.886736	0.275164	0.100981
281.467	1.6483	-4.23141	-0.0016933	0.000855778	0.48221	0.876054	0.288778	0.236517
281.667	1.7092	-4.19173	-7.2086e-05	-0.00155066	0.533679	0.845686	0.165017	0.599795
281.867	1.74239	-4.1724	0.000179228	-0.000169217	0.547444	0.836842	0.185387	0.176864
282.067	1.76127	-4.13351	0.000247847	-0.000305612	0.553014	0.833172	0.25047	0.128011
282.267	1.76406	-4.07865	0.000288501	-0.000366575	0.549281	0.835638	0.316274	0.134979
282.467	1.7871	-4.03927	-0.00107155	-0.0006156	0.571403	0.820669	0	0
282.668	1.7918	-4.03285	-0.000314265	0.000439655	0.577212	0.816594	0.030891	0.115298
282.867	1.8132	-4.0652	-0.000333774	0.000485216	0.586614	0.809866	0.0755246	0.113807
283.067	1.82179	-4.04678	-0.000262707	0.000429006	0.595035	0.8037	0.124374	0.114678
283.267	1.82168	-4.00771	-0.000192514	0.000433294	0.601982	0.798509	0.179308	0.0750214
283.467	1.83229	-3.96997	0.000197928	-0.000241908	0.606705	0.794927	0.238356	0.0805238
283.667	1.844	-3.92069	0.000297679	-0.000318166	0.606908	0.794772	0.288069	0.090381
283.867	1.86319	-3.83544	0.000387909	-0.000291603	0.615994	0.787751	0.319536	0.0927248
284.067	1.869	-3.80034	-0.000852708	0.00100989	0.640402	0.768039	0.0584061	0.217621
284.267	1.87132	-3.78694	-0.000285699	0.000410433	0.646636	0.762798	0.102078	0.0345763
284.467	1.87602	-3.76003	-0.000174034	0.000129808	0.648969	0.760815	0.169941	0.0403712
284.667	1.88025	-3.72157	0.000229681	-0.000227489	0.653861	0.756615	0.226212	0.0376806
284.867	1.88294	-3.69746	0.000194315	-0.000158696	0.655711	0.755012	0	0
285.067	1.88331	-3.68118	-0.000336897	0.000453109	0.660735	0.750619	0.0609199	0.105167
285.267	1.88473	-3.66616	-0.000326742	0.000432378	0.66687	0.745174	0.0897326	0.129362
285.467	1.88598	-3.64965	-0.000274734	0.000408999	0.674374	0.738389	0.103115	0.0462961
285.667	1.88469	-3.62464	-0.000300824	0.000322015	0.673117	0.739535	0.0527303	-0.104396
285.867	1.88582	-3.60388	-0.000201627	0.000210208	0.672395	0.740193	0.142033	0.00451012
286.068	1.8869	-3.56918	0.000303552	-0.000264136	0.671813	0.740721	0.198119	0.0215291
286.267	1.88874	-3.52241	0.000307457	-0.000338081	0.670202	0.742179	0.251111	0.0263934
286.467	1.89291	-3.46582	0.000349962	-0.00037273	0.669178	0.743102	0.317051	0.0259306
286.667	1.89994	-3.41897	0.000452924	-0.000501494	0.670429	0.741973	0.362482	0.0297196
286.867	1.90335	-3.34321	0.00084401	-0.00094904	0.669537	0.742778	0.401582	0.0268726
287.067	1.90871	-3.25941	0.00151815	-0.00168011	0.668378	0.743819	0.442704	0.0394971
287.267	1.91973	-3.18258	0.00260942	-0.00282641	0.6697	0.742622	0.513213	0.0601087
287.467	1.92604	-3.10291	0.00358282	-0.0039636	0.668808	0.743416	0.554881	0.0738202
287.667	1.93609	-2.99169	0.00511028	-0.00564631	0.667272	0.744775	0.583731	0.0735327
287.867	1.93439	-2.95065	0.00404761	-0.00451936	0.6647	0.747086	0.0279086	0.111516
288.068	1.93537	-2.93776	0.00229504	-0.00254673	0.66886	0.74338	0.101182	0.0639348
288.268	1.93711	-2.91129	0.00102269	-0.00110114	0.670763	0.74167	0.170873	0.0605597
288.467	1.94328	-2.89899	0.0002676	-0.000220849	0.675166	0.737666	0.225064	0.0597089
288.667	1.94464	-2.85038	0.000245996	-0.000256623	0.676635	0.736318	0.275235	0.0602675
288.867	1.94701	-2.79159	0.000309486	-0.000319256	0.677617	0.735415	0.325353	0.0651435
289.068	1.95006	-2.70844	0.000448613	-0.000495609	0.679039	0.734102	0.367159	0.0481082
289.267	1.95336	-2.6313	0.000898658	-0.000967522	0.679297	0.733862	0.411189	0.0604663
289.467	1.95567	-2.54479	0.00165485	-0.00181594	0.679581	0.733596	0.464299	0.0437021
289.667	2.00516	-2.48786	0.00278858	-0.00305303	0.671146	0.741314	0.521137	0.0770178
289.868	2.01367	-2.37846	0.00430265	-0.00477449	0.671084	0.741353	0.581335	0.071436
290.067	2.01993	-2.29067	0.00570037	-0.00633654	0.671292	0.741144	0.602446	0.0594729
290.267	2.02652	-2.16414	0.00757732	-0.00834234	0.668589	0.743547	0.63005	0.0681963
290.467	2.03606	-2.0372	0.00956144	-0.0105308	0.667825	0.744182	0.665693	0.110102
290.667	2.05652	-1.90341	0.0117432	-0.0129719	0.667127	0.744738	0.707565	0.12526
290.867	2.11084	-1.76098	0.0142168	-0.0157053	0.668585	0.743334	0.744021	0.153186
291.067	2.12349	-1.61154	0.0169521	-0.018643	0.670859	0.741157	0.771963	0.178334
291.267	2.13446	-1.45623	0.0199435	-0.0217335	0.675477	0.736791	0.800207	0.214504
291.467	2.06614	-1.30056	0.0232704	-0.024993	0.681354	0.731157	0.840909	0.256723
291.667	2.07031	-1.13027	0.0271309	-0.0283235	0.692052	0.720781	0.88273	0.301129
291.868	2.06941	-0.950737	0.0315952	-0.0317163	0.706341	0.706455	0.921145	0.353348
292.067	2.05422	-0.767421	0.0368104	-0.0349356	0.7261	0.685714	0.964606	0.408387
292.267	2.03729	-0.571091	0.0426672	-0.0380378	0.748431	0.660745	1	0.411465
292.467	2.01717	-0.422846	0.0472582	-0.039874	0.766743	0.638969	0.972047	0.40301
292.667	2.07398	-0.248152	0.0535321	-0.0416079	0.7922	0.606483	0.940418	0.388986
292.867	2.02031	-0.0684492	0.0596786	-0.0424337	0.817254	0.571606	0.892076	0.365931
293.067	1.95604	0.0950891	0.0652839	-0.042337	0.840688	0.5359	0.844431	0.344427
293.267	1.86883	0.240262	0.0701767	-0.0418507	0.859316	0.504876	0.79062	0.308783
293.467	1.79142	0.373082	0.0745024	-0.0410772	0.875218	0.476189	0.719052	0.285129
293.667	1.71239	0.490729	0.0781547	-0.0401475	0.888235	0.450908	0.685549	0.270929
293.867	1.65527	0.601509	0.0814484	-0.0389866	0.900072	0.426282	0.641813	0.252321
294.067	1.57483	0.696894	0.0841283	-0.0379333	0.909177	0.406055	0.595342	0.252681
294.268	1.49642	0.783174	0.0863803	-0.0368106	0.917109	0.387421	0.576277	0.238581
294.467	1.44839	0.868503	0.0884244	-0.0355123	0.924777	0.368384	0.557066	0.232649
294.668	1.3712	0.939891	0.090032	-0.034401	0.930665	0.35295	0.503911	0.230265
294.867	1.29649	1.00483	0.091308	-0.0333314	0.935705	0.339127	0.493205	0.202054
295.067	1.24905	1.07229	0.092303	-0.032027	0.94093	0.324199	0.472542	0.191536
295.267	1.1772	1.12712	0.0931058	-0.0309947	0.944848	0.312463	0.43618	0.217587
295.467	1.10985	1.17596	0.0936153	-0.0297614	0.948932	0.299798	0.411787	0.192263
295.667	1.04973	1.21844	0.0938562	-0.0287077	0.95215	0.289443	0.376347	0.204936
295.867	0.988751	1.25834	0.0938315	-0.0275512	0.955359	0.278794	0.346687	0.199324
296.067	0.928704	1.2975	0.0935318	-0.0264352	0.958178	0.269161	0.335091	0.223578
296.267	0.874131	1.32967	0.0930776	-0.0251599	0.961258	0.258236	0.31548	0.205189
296.467	0.821616	1.35893	0.0924469	-0.0239696	0.963942	0.248384	0.294981	0.217227
296.667	0.770998	1.39004	0.0915856	-0.0227555	0.966533	0.238554	0.261294	0.186803
296.867	0.724729	1.41296	0.0905399	-0.0216447	0.96872	0.230034	0.260737	0.207578
297.067	0.680604	1.43377	0.0893861	-0.0203926	0.971176	0.220026	0.243352	0.202496
297.267	0.634703	1.45655	0.0880695	-0.019527	0.972637	0.214104	0.229978	0.200201
297.467	0.593862	1.47371	0.0866862	-0.0184072	0.974654	0.205417	0.222096	0.194876
297.667	0.564566	1.48485	0.0855156	-0.0175581	0.976138	0.19883	0.204793	0.175216
297.867	0.523895	1.46396	0.0835229	-0.0183477	0.973479	0.212195	0.172321	0.152414
298.067	0.492253	1.47407	0.0816211	-0.0174002	0.974979	0.206038	0.16231	0.134374
298.267	0.46241	1.48299	0.0796382	-0.0164639	0.97645	0.199832	0.151349	0.133158
298.467	0.44617	1.47332	0.0774145	-0.0163333	0.975834	0.203686	0.157929	0.124054
298.667	0.416599	1.48077	0.0754349	-0.0154237	0.977267	0.197539	0.147384	0.120417
298.867	0.388728	1.48657	0.0733805	-0.0145535	0.97862	0.191587	0.135029	0.115751
299.067	0.482691	1.59205	0.0713954	-0.0134288	0.980489	0.182659	0.177071	0.227212
299.267	0.448712	1.59823	0.0696655	-0.0121824	0.982914	0.169937	0.162875	0.212928
299.467	0.41673	1.6026	0.0678357	-0.0109862	0.985132	0.157456	0.152475	0.198083
299.667	0.376412	1.60406	0.0657946	-0.00995813	0.986869	0.14718	0.131627	0.212538
299.867	0.350308	1.60538	0.0636961	-0.00877151	0.988919	0.133811	0.124695	0.204174
300.068	0.329311	1.6117	0.0615635	-0.00746004	0.991091	0.117869	0.12372	0.222325
300.267	0.311166	1.61175	0.0599514	-0.00661578	0.992411	0.107159	0.114009	0.211621
300.467	0.287812	1.61128	0.057727	-0.00553109	0.993986	0.0928863	0.109873	0.210383
300.667	0.200762	1.62799	0.055468	-0.00364056	0.996472	0.0628762	0.0973881	0.283538
300.868	0.182084	1.62549	0.0529829	-0.00240794	0.99764	0.0435977	0.0904752	0.296863
301.067	0.164386	1.6226	0.0504544	-0.00129524	0.99844	0.0238701	0.0859806	0.286798
301.267	0.152737	1.61546	0.0477984	-0.000510227	0.998818	0.00879416	0.0817775	0.274265
301.467	0.138292	1.6121	0.0451318	0.000324754	0.998941	-0.00893845	0.0779289	0.274513
301.667	0.123169	1.60856	0.0425011	0.00114448	0.99869	-0.0284547	0.0719444	0.292936
301.867	0.100859	1.6073	0.039706	0.00175992	0.998162	-0.0457556	0.066806	0.291391
302.067	0.0878983	1.60362	0.0369873	0.00240823	0.997118	-0.0661892	0.0589193	0.315009
302.267	0.0760757	1.60003	0.0342263	0.00297089	0.995563	-0.0875999	0.0608821	0.309182
302.467	0.114707	1.59221	0.0314472	0.00304332	0.994699	-0.0978571	0.03669	0.208384
302.667	0.10516	1.58941	0.0294408	0.00312734	0.993725	-0.107858	0.0471092	0.199546
302.867	0.0976526	1.58664	0.0265582	0.00317886	0.992353	-0.120495	0.0293605	0.201902
303.067	0.0954854	1.58103	0.0237075	0.00321721	0.990329	-0.136662	0.0633701	0.204242
303.267	0.0839615	1.57707	0.0210404	0.00313147	0.988577	-0.149208	0.0572294	0.195395
303.467	0.0737498	1.57188	0.0183309	0.00302464	0.98646	-0.162949	0.0512259	0.204819
