time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel
275.821	-0.00482752	-5.99484	-0.000307673	0.000396214	0.698152	0.715949	0.0298916	-0.275079
276.021	-0.00485491	-5.98395	-0.000352362	0.000434907	0.681286	0.732017	0.0988551	-0.301594
276.221	0.00220474	-5.96231	-0.000243452	0.000336529	0.663168	0.748471	0.132462	-0.289252
276.421	0.00538412	-5.93186	0.000323814	-0.000272274	0.644016	0.765012	0.197747	-0.307155
276.622	0.0123114	-5.88951	0.00033286	-0.000329532	0.627749	0.778416	0.257489	-0.269041
276.821	0.0765201	-5.85085	0.000311683	-0.000454407	0.615651	0.788019	0.304229	-0.263155
277.021	0.0917871	-5.78763	0.000380265	-0.000530789	0.596261	0.802791	0.369177	-0.257052
277.221	0.114322	-5.71362	0.000679253	-0.000904996	0.574634	0.81841	0.42813	-0.25739
277.421	0.15608	-5.63294	0.00114892	-0.00163125	0.556131	0.831093	0.478852	-0.243864
277.621	0.183288	-5.56707	0.00163111	-0.0024265	0.538221	0.842798	0.485386	-0.259968
277.821	0.224824	-5.4786	0.00218055	-0.00354153	0.513581	0.858031	0.522565	-0.279526
278.021	0.299124	-5.39782	0.0026302	-0.00460353	0.493033	0.869995	0.447385	-0.228946
278.221	0.344665	-5.32276	0.00284033	-0.00529674	0.472326	0.881403	0.437856	-0.257345
278.421	0.3742	-5.25176	0.00290896	-0.00576459	0.452426	0.891778	0.409724	-0.223922
278.621	0.390973	-5.18662	0.00283687	-0.00594363	0.43475	0.900527	0.367735	-0.183574
278.821	0.435	-5.13155	0.00266397	-0.00588606	0.419917	0.907539	0.352098	-0.176837
279.021	0.496896	-5.07763	0.00242083	-0.00561082	0.405182	0.914216	0.321472	-0.164375
279.221	0.551623	-5.0289	0.0021386	-0.00518271	0.391863	0.920006	0.302387	-0.151995
279.421	0.592524	-4.98677	0.00182248	-0.00461641	0.38046	0.924784	0.301022	-0.159557
279.621	0.577186	-4.95332	0.00146726	-0.00388502	0.367395	0.930056	0.275314	-0.146856
279.821	0.611559	-4.92132	0.000999491	-0.00276831	0.359137	0.93328	0.216144	-0.0960863
280.021	0.644991	-4.89123	0.000528619	-0.0016076	0.35091	0.936408	0.256346	-0.152338
280.221	0.678438	-4.86911	0.000252439	-0.000880039	0.342891	0.939375	0.238402	-0.137627
280.421	0.713253	-4.84024	0.000103087	-0.000342061	0.333899	0.942609	0.227204	-0.134904
280.622	0.745872	-4.81429	0.00013748	-0.000305154	0.325191	0.945648	0.212977	-0.129098
280.821	0.774661	-4.79213	0.000120656	-0.000261972	0.318298	0.947991	0.197028	-0.12307
