time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel	controller_flag
398.74	-0.00245968	-5.89727	0.00262274	-0.00166407	0.756894	0.653531	0.725435	1.82059	1
398.963	-0.0320755	-5.78172	0.00471514	-0.00298802	0.830029	0.557692	0.491819	1.5409	1
399.136	-0.0685506	-5.70583	0.00597098	-0.00341853	0.870641	0.491871	0.550123	1.16516	1
399.34	-0.186519	-5.60726	0.00796599	-0.00378159	0.907934	0.419021	0.726001	0.795684	1
399.54	-0.301068	-5.50859	0.0105288	-0.0040726	0.933661	0.357979	0.724218	0.71813	1
399.738	-0.366076	-5.41414	0.0138795	-0.00464156	0.947919	0.318174	0.77928	0.469839	1
399.936	-0.495936	-5.32227	0.0175459	-0.00525606	0.957099	0.289181	0.79776	0.491432	1
400.136	-0.641743	-5.24342	0.020461	-0.00767169	0.941059	0.337536	0.712625	-2.19605	2
400.337	-0.733329	-5.14391	0.0221464	-0.0122721	0.880793	0.472824	0.799184	-1.24467	2
400.536	-0.784195	-5.0084	0.0245388	-0.016428	0.840348	0.541242	0.946063	-2.04859	2
400.736	-0.826757	-4.88865	0.0260394	-0.019477	0.798798	0.600719	0	0.8	3
400.936	-0.828047	-4.88219	0.0243394	-0.0154265	0.830736	0.55592	0	0.8	3
401.137	-0.839279	-4.85686	0.0232732	-0.0138721	0.859084	0.511116	0.363736	0.648892	2
401.336	-0.855333	-4.83028	0.0228746	-0.0112566	0.893254	0.448828	0	0.8	3
401.536	-0.869865	-4.81186	0.0216503	-0.00863406	0.927233	0.373759	0	0.8	3
401.736	-0.870423	-4.81	0.0196972	-0.00681106	0.943769	0.329947	0	0.8	3
401.936	-0.879605	-4.84879	0.016793	-0.00477451	0.961627	0.273805	0	0.8	3
402.136	-0.90982	-4.8318	0.0151358	-0.00302971	0.979853	0.199121	0	0.8	3
402.34	-0.968313	-4.7639	0.0149503	-0.00176915	0.991572	0.128676	0.509151	0.875327	2
402.51	-1.0624	-4.74526	0.0160272	-0.00110804	0.99658	0.081059	0.411075	0.612361	2
402.702	-1.12313	-4.73774	0.0163408	-0.000547949	0.998755	0.0471288	0.404028	0.647376	2
402.886	-1.2092	-4.73283	0.0169399	-6.05622e-05	0.999783	0.0121329	0.403555	0.238542	2
403.086	-1.28965	-4.73253	0.0176383	4.77324e-05	0.999843	-0.00140945	0.404698	0.0579012	2
403.286	-1.37021	-4.73312	0.0184346	-6.38787e-06	0.999819	-0.00479327	0.404677	-0.0158187	2
403.486	-1.45827	-4.73189	0.0191693	-2.22679e-05	0.999811	-0.00328948	0.405235	0.0592487	2
403.686	-1.53876	-4.73239	0.0198594	-0.000158399	0.999799	-0.00283244	0.40552	-0.0562318	2
403.886	-1.61906	-4.7324	0.0205865	-0.000181769	0.999788	-0.000238917	0.405853	-0.0687114	2
404.086	-1.71134	-4.72898	0.0213453	-0.000271063	0.999768	0.00302963	0.405251	0.0154908	2
404.286	-1.77159	-4.72868	0.0219489	-0.000196876	0.999757	0.00221132	0.406971	-0.0499729	2
404.486	-1.85211	-4.72826	0.0226805	-0.000167564	0.999741	0.00174242	0.406072	0.0166573	2
404.686	-1.93183	-4.72987	0.023402	-0.000148412	0.999726	9.72211e-05	0.40676	-0.00604643	2
404.886	-2.01233	-4.72989	0.0241303	-0.00013547	0.999708	-0.00113183	0.406827	-0.0180994	2
405.086	-2.09292	-4.72979	0.0248833	-0.000299504	0.999688	0.00202818	0.405986	0.00434241	2
405.286	-2.17668	-4.73253	0.0256087	-0.000221352	0.999671	0.00113026	0.404933	0.0532387	2
405.486	-2.25705	-4.73246	0.0263291	-0.000215234	0.999653	0.000347589	0.40208	0.0437053	2
405.686	-2.33713	-4.73251	0.0270323	-0.000197816	0.999634	-0.000455272	0.402659	0.0727806	2
405.886	-2.38969	-4.72872	0.0277381	-0.000224381	0.999615	0.000323045	0.409224	-0.114997	2
406.086	-2.4703	-4.72806	0.0284852	-0.000354288	0.999583	0.00471173	0.405285	-0.0149341	2
406.286	-2.55079	-4.72731	0.0292056	-0.000316245	0.999565	0.0040534	0.406602	-0.076957	2
406.486	-2.62973	-4.72805	0.0299831	0.000338638	0.999486	-0.0113572	0.43012	0.326512	2
406.686	-2.71601	-4.73179	0.0309564	0.000766545	0.99908	-0.029669	0.437701	0.129696	2
