time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel	controller_flag
266.322	0.0734396	-5.88111	0.00254729	-0.00352376	0.638203	0.769856	0.80836	-0.982578	1
266.521	0.105447	-5.75092	0.00456955	-0.00645766	0.582054	0.813111	0.598567	-0.854642	1
266.721	0.15389	-5.62802	0.00583678	-0.00936969	0.5246	0.851277	0.771626	-0.584368	1
266.921	0.282811	-5.51788	0.00698217	-0.0124569	0.487663	0.872915	0.830941	-0.420764	1
267.121	0.366355	-5.38969	0.00814773	-0.0159987	0.454053	0.890794	0.850562	-0.363574	1
267.321	0.398763	-5.2807	0.00907642	-0.0190617	0.432394	0.901438	0.8141	-0.350872	1
267.521	0.503178	-5.15653	0.0101214	-0.0229742	0.406652	0.913238	0.779767	-0.276212	1
267.721	0.610502	-5.04163	0.0109998	-0.0266556	0.386851	0.921691	0.80064	-0.2421	1
267.921	0.71635	-4.94104	0.0120224	-0.0295402	0.379757	0.924536	0.421817	0.786178	2
268.121	0.769578	-4.88357	0.0141194	-0.0284059	0.44554	0.8947	0.388136	0.691871	2
268.321	0.816248	-4.81622	0.0156134	-0.02773	0.490064	0.871105	0.41353	0.636268	2
268.521	0.838521	-4.74686	0.0165535	-0.0274008	0.516388	0.855756	0.393291	0.323221	2
268.721	0.874352	-4.67542	0.0174462	-0.0270097	0.539554	0.841337	0.482251	1.04541	2
268.921	0.869494	-4.57977	0.019867	-0.0265315	0.594362	0.803515	0.516592	0.983268	2
269.121	0.863557	-4.51266	0.0192072	-0.0266529	0.597504	0.801193	0	-1.3	3
269.321	0.896818	-4.52069	0.0134281	-0.025909	0.52358	0.851476	0	-1.3	3
269.521	0.916392	-4.50092	0.0125738	-0.0247426	0.486468	0.873257	0.132785	-0.575558	2
269.721	0.89542	-4.48799	0.0112042	-0.0235392	0.437826	0.898682	0.11546	-0.665907	2
269.921	0.904901	-4.47541	0.00975963	-0.0224926	0.404265	0.914313	0.114363	-0.675448	2
270.121	0.917517	-4.46641	0.00778378	-0.0209133	0.356336	0.934091	0.110465	-0.697504	2
