time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel	controller_flag
216.965	-8.99673	-8.86409	0.00315069	-0.00365204	0.687363	0.726298	0.788428	-0.439335	1
217.165	-8.98887	-8.74889	0.0056314	-0.00647961	0.669781	0.742509	0.798982	-0.434205	1
217.365	-8.96818	-8.59031	0.00858641	-0.0102446	0.642262	0.766368	0.845584	-0.384638	1
217.565	-8.93612	-8.43044	0.0111579	-0.0141975	0.611525	0.791019	0.821338	-0.324843	1
217.765	-8.85448	-8.30862	0.0133639	-0.0181501	0.584324	0.811208	0.844411	-0.231155	1
217.965	-8.78294	-8.1604	0.0154318	-0.0224633	0.559631	0.828294	0.877947	-0.135324	1
218.165	-8.71632	-7.99904	0.0174128	-0.0268029	0.540166	0.840951	0.874651	-0.0734427	1
218.365	-8.67032	-7.81283	0.0191601	-0.0312936	0.518885	0.854056	0.874237	-0.0562865	1
218.565	-8.59772	-7.67088	0.0202793	-0.0350036	0.500928	0.864543	0.362626	-0.406148	2
218.765	-8.55898	-7.60643	0.0185568	-0.0361516	0.457189	0.888441	0.399916	-0.473577	2
218.965	-8.5144	-7.56112	0.0166092	-0.0374453	0.408663	0.911766	0.445557	-0.709579	2
219.165	-8.4562	-7.50031	0.0149004	-0.0386985	0.36338	0.930718	0.423411	-0.476637	2
219.365	-8.39318	-7.45898	0.0139061	-0.0391572	0.338648	0.939995	0.362642	-0.270355	2
219.565	-8.35346	-7.42679	0.0133731	-0.0391475	0.327256	0.94403	0.287873	-0.0338179	2
219.765	-8.31081	-7.39367	0.0132306	-0.0380628	0.330932	0.942794	0.23153	0.202696	2
219.965	-8.30263	-7.3431	0.0140936	-0.0350084	0.366865	0.929508	0	0.8	3
220.165	-8.27323	-7.31339	0.0137192	-0.0338199	0.376211	0.925815	0	0.8	3
220.365	-8.23843	-7.27752	0.0130946	-0.0330322	0.373447	0.926971	0.376624	-0.522589	2
220.565	-8.19801	-7.21232	0.0123174	-0.0325402	0.353564	0.934763	0	0.8	3
220.765	-8.18182	-7.19743	0.012692	-0.0297839	0.392895	0.919013	0.149919	0.503999	2
220.965	-8.1727	-7.18931	0.0130591	-0.0263454	0.441892	0.896586	0	0.8	3
221.165	-8.20805	-7.20952	0.0130632	-0.0236778	0.482887	0.875265	0.16533	0.605116	2
221.365	-8.20027	-7.19916	0.0127901	-0.0203275	0.531687	0.846601	0	0.8	3
221.565	-8.17414	-7.18723	0.012127	-0.0171425	0.575912	0.817242	0.197407	0.496466	2
221.765	-8.16416	-7.15814	0.0115388	-0.0149476	0.608818	0.793085	0	0.8	3
221.965	-8.1334	-7.15041	0.0104865	-0.0120717	0.651894	0.758141	0.203049	0.441326	2
222.165	-8.12949	-7.11893	0.00989665	-0.0112633	0.660119	0.751012	0	0.8	3
222.365	-8.12813	-7.11529	0.00818998	-0.00839708	0.70199	0.71209	0.215269	-0.308017	2
222.565	-8.12652	-7.06031	0.00725917	-0.00783175	0.691127	0.722654	0.214061	-0.230356	2
222.765	-8.12389	-7.01014	0.00638135	-0.00716542	0.680472	0.732711	0.214098	-0.245177	2
222.965	-8.1199	-6.96862	0.00553046	-0.00651825	0.666451	0.7455	0.217165	-0.350238	2
223.165	-8.10876	-6.93449	0.00474669	-0.00586771	0.651042	0.759004	0.218547	-0.371629	2
223.365	-8.1002	-6.89407	0.00400787	-0.00526132	0.630544	0.776125	0.220015	-0.390241	2
223.565	-8.09053	-6.85249	0.00328008	-0.00468417	0.606159	0.795323	0.24434	-0.87132	2
223.765	-8.04786	-6.82238	0.002763	-0.00423652	0.565425	0.824784	0.231998	-0.427277	2
223.965	-8.0316	-6.78126	0.00219447	-0.00334207	0.543174	0.839611	0.229428	-0.209856	2
224.165	-8.01369	-6.74106	0.00153902	-0.00237624	0.52464	0.85132	0.228108	-0.178394	2
224.365	-7.99263	-6.6911	0.000862557	-0.00135493	0.506268	0.862375	0.227971	-0.164367	2
224.565	-7.97148	-6.65281	0.000218311	-0.000295035	0.48921	0.872166	0.226964	-0.183323	2
224.766	-7.95504	-6.62518	0.000208905	-0.000253207	0.479129	0.877744	0.226119	-0.10372	2
224.965	-7.93063	-6.59717	0.000211773	-0.000292729	0.469875	0.882733	0.22616	-0.150228	2
225.165	-7.90583	-6.568	0.000180999	-0.000218317	0.455952	0.890004	0.225568	-0.137967	2
225.365	-7.88103	-6.53324	0.000193002	-0.0002645	0.442504	0.896767	0.225976	-0.161478	2
225.565	-7.86819	-6.48619	0.000174718	-0.00028171	0.4239	0.905709	0.226341	-0.197534	2
225.766	-7.8408	-6.45345	0.000163435	-0.00028947	0.411095	0.911592	0.226072	-0.184921	2
225.965	-7.79268	-6.40063	0.000497464	-0.00136519	0.382816	0.923824	0.724657	-0.816136	1
226.166	-7.69139	-6.28236	0.00146204	-0.00464658	0.330899	0.943654	0.829585	-0.634613	1
226.365	-7.56935	-6.19217	0.00221053	-0.00831001	0.292006	0.956378	0.768304	-0.533464	1
226.565	-7.44108	-6.11222	0.00280217	-0.0121033	0.259542	0.965652	0.797882	-0.427601	1
226.765	-7.31079	-6.04115	0.00350648	-0.0160858	0.239966	0.970642	0.83361	-0.289867	1
226.965	-7.23547	-6.00023	0.0040887	-0.0167049	0.261005	0.965184	0.852743	-0.354594	1
227.165	-7.19777	-5.97912	0.00474616	-0.0157899	0.285456	0.95825	0.814466	-0.476465	1
227.365	-7.05296	-5.89339	0.00493206	-0.020016	0.258491	0.965794	0.804911	-0.432417	1
227.556	-6.93866	-5.82407	0.00766987	-0.0219009	0.333977	0.942296	0.525667	1.5445	1
227.754	-6.86402	-5.7517	0.0102863	-0.0218558	0.432593	0.901266	0.297039	-0.660761	2
227.968	-6.83415	-5.71459	0.00878427	-0.0218316	0.383584	0.923206	0.636899	1.22983	1
228.187	-6.73657	-5.63048	0.0108027	-0.0226468	0.440985	0.897163	0.344617	-0.841543	2
228.387	-6.70589	-5.5924	0.00967981	-0.0230946	0.397176	0.917401	0.342364	-0.779822	2
228.625	-6.61837	-5.49829	0.0122673	-0.0238035	0.461499	0.886736	0.587646	1.16594	1
228.872	-6.5413	-5.36281	0.0158422	-0.0245252	0.542936	0.839266	0.61334	0.973542	1
229.085	-6.47927	-5.23369	0.0183692	-0.0258617	0.578449	0.815102	0.60041	0.68718	1
229.285	-6.45888	-5.0903	0.0209629	-0.0276976	0.601698	0.797968	0.817538	0.519488	1
229.485	-6.42045	-4.9362	0.023961	-0.030438	0.615589	0.787115	0.796983	0.412086	1
229.685	-6.38618	-4.77915	0.0269896	-0.033324	0.626224	0.778463	0.790776	0.430422	1
229.888	-6.34926	-4.63222	0.0301027	-0.0363343	0.635209	0.770898	0.819444	0.364464	1
230.085	-6.32145	-4.46992	0.0332438	-0.0395712	0.640823	0.765947	0.832528	0.307037	1
230.285	-6.29548	-4.30514	0.0365496	-0.0428411	0.646629	0.760723	0.819507	0.33194	1
230.485	-6.26964	-4.1526	0.0397749	-0.0461779	0.650463	0.757089	0.839646	0.268572	1
230.685	-6.2473	-3.98515	0.043213	-0.0495774	0.654789	0.752945	0.826529	0.293806	1
230.886	-6.23161	-3.85844	0.0458463	-0.0523748	0.656524	0.751087	0.850432	0.222887	1
231.085	-6.19681	-3.70287	0.0494199	-0.0558612	0.660303	0.747286	0.842576	0.266871	1
231.285	-6.17823	-3.53192	0.0528956	-0.0595755	0.661586	0.745625	0.850216	0.206422	1
231.485	-6.16074	-3.36148	0.0564168	-0.0632826	0.662796	0.743985	0.852663	0.232011	1
231.685	-6.14909	-3.19807	0.0600037	-0.0669654	0.664461	0.741894	0.84124	0.245205	1
231.885	-6.13213	-3.02418	0.0635794	-0.0708941	0.664764	0.740959	0.868189	0.182513	1
232.085	-6.11558	-2.8561	0.0672061	-0.0747934	0.66507	0.739981	0.844561	0.210016	1
232.285	-6.10395	-2.76662	0.06519	-0.0789758	0.637228	0.763841	0.381426	-0.451145	2
232.485	-6.08767	-2.68735	0.0631719	-0.0815063	0.611308	0.784646	0.391322	-0.156095	2
232.685	-6.06694	-2.60316	0.0620065	-0.082959	0.596912	0.795594	0.434855	-0.121764	2
232.885	-6.04143	-2.51355	0.0610039	-0.0846584	0.582739	0.805932	0.465652	-0.111265	2
233.086	-6.01214	-2.42443	0.0599575	-0.0865411	0.567649	0.816511	0.484812	-0.116633	2
233.285	-5.98294	-2.38983	0.0596836	-0.0850828	0.568728	0.815933	0	0.8	3
233.485	-5.98147	-2.3889	0.0621509	-0.0787464	0.605932	0.789166	0	0.8	3
233.685	-5.97542	-2.36168	0.0632478	-0.0747942	0.630947	0.769618	0.210883	0.291142	2
233.886	-5.92485	-2.30178	0.0640695	-0.0701027	0.656075	0.748696	0.203882	0.326308	2
234.085	-5.92112	-2.27045	0.0647057	-0.0665277	0.678312	0.72889	0	0.8	3
234.285	-5.92001	-2.23826	0.0653556	-0.0635519	0.701048	0.707263	0.221731	0.31879	2
234.485	-5.94606	-2.25797	0.0655609	-0.0609558	0.719982	0.688195	0	0.8	3
234.685	-5.94758	-2.23764	0.0666524	-0.0549029	0.752445	0.65297	0.108108	0.685856	2
234.885	-5.95056	-2.22924	0.0673605	-0.0477069	0.787638	0.610584	0.111318	0.684877	2
235.085	-5.95944	-2.20864	0.0678087	-0.042982	0.816358	0.571939	0.167468	0.594029	2
235.285	-5.95224	-2.1854	0.0677856	-0.0374527	0.845918	0.527661	0.172037	0.569057	2
235.485	-5.95432	-2.15947	0.0675548	-0.0335176	0.871171	0.485154	0	0.8	3
235.685	-5.95482	-2.15713	0.0662754	-0.0262385	0.899409	0.431258	0	0.8	3
235.885	-5.99979	-2.08754	0.0651776	-0.0205021	0.922818	0.379129	0	0.8	3
236.085	-6.00501	-2.08169	0.0631389	-0.015198	0.942977	0.326462	0.209997	0.292309	2
236.285	-6.01666	-2.05172	0.0623702	-0.0178036	0.941163	0.33167	0.214125	-0.249543	2
236.485	-6.04822	-2.02558	0.0613697	-0.0221682	0.932543	0.355115	0.214259	-0.263226	2
236.685	-6.07432	-2.00016	0.0596731	-0.0244641	0.924493	0.375705	0.214148	-0.25253	2
236.886	-6.06289	-1.99797	0.0579238	-0.0222424	0.932487	0.355835	0.214279	-0.264734	2
237.085	-6.09337	-1.97047	0.0559402	-0.022904	0.924836	0.375532	0.214075	-0.239701	2
237.285	-6.13189	-1.94625	0.0541745	-0.0207443	0.933007	0.355153	0.21422	-0.259946	2
237.485	-6.19796	-1.90465	0.0522838	-0.0212127	0.926184	0.372826	0.214206	-0.258629	2
237.685	-6.2274	-1.876	0.0503867	-0.0216309	0.918653	0.391241	0.214067	-0.236803	2
237.885	-6.23949	-1.81774	0.0484654	-0.0220472	0.910196	0.410741	0.214062	-0.228362	2
238.085	-6.30613	-1.73436	0.0480946	-0.0264605	0.87903	0.473595	0.62454	-1.38364	1
238.285	-6.36294	-1.63081	0.0469781	-0.0322969	0.830063	0.554747	0.57984	-1.40173	1
238.485	-6.39138	-1.54745	0.0451377	-0.036898	0.790835	0.609247	0.632174	-1.31375	1
238.685	-6.37607	-1.42971	0.0412758	-0.0436528	0.733937	0.676556	0.621281	-1.20534	1
238.885	-6.40213	-1.36679	0.0377636	-0.0497246	0.678268	0.732157	0.649987	-1.16331	1
239.085	-6.40249	-1.21997	0.0347372	-0.05556	0.600615	0.796849	0.679443	-1.06491	1
239.285	-6.35623	-1.09171	0.0360404	-0.0601909	0.533553	0.842852	0.683316	-0.986367	1
239.485	-6.28076	-0.952741	0.0337147	-0.0652576	0.46239	0.883629	0.68572	-0.910778	1
239.685	-6.24463	-0.931452	0.0312	-0.067079	0.425253	0.902046	0.362626	-0.406148	2
239.886	-6.20409	-0.877122	0.0287799	-0.0678266	0.39473	0.915838	0.362626	-0.406148	2
240.085	-6.16228	-0.825246	0.0256912	-0.0687998	0.355864	0.931648	0.381047	-1.13806	2
240.285	-6.10791	-0.781523	0.0189939	-0.0707527	0.26924	0.960283	0.359182	-1.45655	2
240.485	-6.02759	-0.727967	0.0143319	-0.0735755	0.206334	0.975606	0.923596	-0.0199972	1
240.685	-5.86247	-0.65401	0.0167593	-0.078038	0.220699	0.972071	0.906358	-0.0797814	1
240.885	-5.68912	-0.556055	0.0170999	-0.082537	0.213761	0.973243	0.821697	-0.452659	1
241.085	-5.58144	-0.509323	0.0163704	-0.0856769	0.198615	0.976188	0.833848	-0.330814	1
241.285	-5.42639	-0.44719	0.0166567	-0.089957	0.192919	0.97694	0.859619	-0.139756	1
241.485	-5.28461	-0.38041	0.0179888	-0.0943302	0.198347	0.975416	0.800503	-0.251349	1
241.685	-5.15459	-0.327213	0.0203409	-0.0968092	0.209145	0.972868	0	0.8	3
241.885	-5.16563	-0.352815	0.0260804	-0.0913164	0.264283	0.959758	0.200785	0.410741	2
242.085	-5.13052	-0.331825	0.027144	-0.0901686	0.293146	0.951419	0.202495	0.382934	2
242.285	-5.09667	-0.308596	0.0292343	-0.087577	0.321657	0.942344	0.20591	0.332829	2
242.485	-4.93261	-0.235285	0.0269784	-0.0864882	0.304178	0.948297	0.214724	-0.288889	2
242.685	-4.90768	-0.21806	0.0270232	-0.0840238	0.307097	0.947577	0	0.8	3
242.885	-4.8814	-0.198489	0.0257796	-0.0825477	0.30472	0.948508	0.214272	-0.26425	2
243.085	-4.82116	-0.147166	0.0261495	-0.0799728	0.316994	0.944688	0.2149	-0.295779	2
243.285	-4.78805	-0.122698	0.0240377	-0.0788974	0.298427	0.950862	0.214217	-0.259657	2
243.486	-4.75394	-0.0995471	0.0222403	-0.0776958	0.282488	0.955861	0.214124	-0.21192	2
243.685	-4.73647	-0.0754182	0.021404	-0.0765923	0.276638	0.957678	0.214076	-0.239913	2
243.885	-4.70081	-0.0518023	0.0189115	-0.0756965	0.251105	0.96481	0.236535	-0.504738	2
244.085	-4.66094	-0.0307742	0.0158609	-0.0749571	0.216898	0.973183	0.233314	-0.489075	2
244.293	-4.66884	-0.0351153	0.0170787	-0.0759904	0.230165	0.97003	0.344629	-0.812094	2
244.485	-4.58348	0.000904078	0.0141926	-0.077574	0.192262	0.97817	0.797442	0.560345	1
244.658	-4.44407	0.0632741	0.0192425	-0.0798044	0.244375	0.9662	0.702511	0.522482	1
