time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel	controller_flag
224.48	-8.99383	-8.89977	0.00209305	-0.00323588	0.643776	0.765204	0.8	-1.5	1
224.699	-8.9528	-8.75105	0.00467917	-0.00738902	0.554793	0.831942	0.8	-1.5	1
224.875	-8.89198	-8.66058	0.00575417	-0.0107386	0.479468	0.877475	0	0	1
225.133	-8.79167	-8.54531	0.00847974	-0.0117366	0.572008	0.82012	0.8	1.5	1
225.337	-8.74661	-8.38765	0.0105576	-0.0156329	0.56835	0.822571	0.8	-1.5	1
225.537	-8.73028	-8.34251	0.0101842	-0.016221	0.53832	0.842523	0.8	-1.5	1
225.737	-8.67808	-8.17313	0.0113393	-0.0201835	0.48599	0.873658	0.8	1.5	1
225.936	-8.60674	-8.02738	0.0157022	-0.0217495	0.577151	0.816197	0.8	0.500662	1
226.139	-8.54592	-7.89839	0.0175293	-0.0257721	0.570334	0.820821	0.8	-1.5	1
226.339	-8.49591	-7.78705	0.0166978	-0.0293083	0.496029	0.867651	0.377487	-0.437364	2
226.539	-8.4563	-7.72246	0.0153264	-0.0303241	0.453941	0.890384	0.441729	-0.766418	2
226.74	-8.40604	-7.65807	0.0136865	-0.0317714	0.399117	0.916247	0.438186	-0.569841	2
226.939	-8.34783	-7.59926	0.0124632	-0.0327163	0.361084	0.931876	0.377719	-0.297926	2
227.139	-8.28306	-7.56133	0.0118002	-0.0328412	0.34322	0.938607	0.31506	-0.123678	2
227.339	-8.23745	-7.52352	0.0114176	-0.0321629	0.338954	0.940184	0.251407	0.111794	2
227.539	-8.20793	-7.4848	0.0114648	-0.0306065	0.351609	0.935576	0	0.8	3
227.739	-8.20955	-7.4775	0.0121659	-0.0266087	0.407559	0.91271	0	0.8	3
227.939	-8.20317	-7.47074	0.012045	-0.0236128	0.453911	0.890653	0.292186	-0.2232	2
228.139	-8.18915	-7.45197	0.0116018	-0.0220385	0.465693	0.884596	0	0.8	3
228.339	-8.1895	-7.43939	0.0111991	-0.0188793	0.510814	0.859411	0.141234	0.53369	2
228.539	-8.17476	-7.41077	0.0107871	-0.0167634	0.541023	0.840771	0.178224	0.49699	2
228.739	-8.16488	-7.38917	0.0101169	-0.0142818	0.577869	0.815942	0	0.8	3
228.939	-8.16574	-7.38289	0.00882747	-0.0109645	0.626779	0.77907	0	0.8	3
229.139	-8.16412	-7.38109	0.00720327	-0.00788723	0.67371	0.738918	0	0.8	3
229.339	-8.17342	-7.36285	0.00524732	-0.00511008	0.715474	0.698601	0	0.8	3
229.539	-8.17509	-7.34172	0.00382117	-0.00331098	0.745561	0.666419	0	0.8	3
229.739	-8.16244	-7.33134	0.00205568	-0.00196453	0.762242	0.647286	0.214911	-0.296179	2
229.939	-8.16501	-7.30975	0.000577705	-0.000307134	0.77687	0.629661	0	0.8	3
230.139	-8.17001	-7.28779	0.000337886	-0.000221076	0.790106	0.61297	0.217825	-0.36106	2
230.339	-8.17334	-7.25257	0.000260746	-0.00024419	0.778213	0.628	0.214108	-0.246907	2
230.539	-8.18049	-7.21241	0.000306956	-0.000232097	0.768986	0.639266	0.21667	-0.341166	2
230.739	-8.18514	-7.1816	0.000301756	-0.00023595	0.757364	0.652993	0.228974	-0.464521	2
230.939	-8.20191	-7.13515	0.000352462	-0.000291403	0.736856	0.67605	0.222438	-0.415314	2
231.139	-8.20416	-7.09263	0.000346782	-0.000267384	0.717045	0.697027	0.232403	-0.484289	2
231.339	-8.20384	-7.04891	0.000314289	-0.000257248	0.694652	0.719346	0.225804	-0.443084	2
231.539	-8.1989	-7.007	0.000292449	-0.000251088	0.673537	0.739153	0.22012	-0.391454	2
231.74	-8.19425	-6.96518	0.00030952	-0.000307242	0.652443	0.757837	0.22372	-0.426664	2
231.939	-8.18723	-6.92321	0.000290203	-0.000323571	0.628947	0.777448	0.22614	-0.445532	2
232.139	-8.17833	-6.87536	0.000286958	-0.000374143	0.60201	0.798488	0.242954	-0.820552	2
232.339	-8.16452	-6.83292	0.00019041	-0.00034231	0.560618	0.828074	0.230514	-0.435423	2
232.539	-8.14834	-6.79272	0.000213716	-0.00032535	0.534222	0.845344	0.229329	-0.261032	2
232.739	-8.1433	-6.74372	0.000180227	-0.00031387	0.514896	0.857252	0.228775	-0.203411	2
232.939	-8.12351	-6.70549	0.000232065	-0.000311274	0.498202	0.867061	0.227277	-0.167855	2
233.139	-8.10762	-6.67738	0.000139855	-0.000229705	0.488342	0.872652	0.22752	-0.249298	2
233.34	-8.07474	-6.64919	0.000231028	-0.000304787	0.475685	0.879616	0.227023	-0.191941	2
233.539	-8.05153	-6.61323	0.000201221	-0.000261314	0.461172	0.887311	0.225307	-0.132969	2
233.739	-8.0272	-6.57814	0.000191061	-0.000265223	0.44811	0.893979	0.225643	-0.151323	2
233.939	-7.99528	-6.54922	0.0001293	-0.000345468	0.436208	0.899846	0.227368	-0.256382	2
234.139	-7.96885	-6.51575	0.000191689	-0.000289425	0.420095	0.90748	0.225781	-0.166919	2
234.339	-7.94117	-6.48322	0.000193308	-0.000298737	0.40863	0.9127	0.224696	-0.114845	2
234.539	-7.89934	-6.43727	0.000366185	-0.0011379	0.366783	0.930306	0.63341	-1.5	1
234.739	-7.80537	-6.36512	0.000761956	-0.00377972	0.256318	0.966585	0	0.8	3
234.939	-7.80509	-6.36018	0.000438023	-0.000916993	0.303918	0.952698	0.707202	-1.22789	1
235.14	-7.74816	-6.32297	0.000421247	-0.000992827	0.289169	0.957278	0.719536	-1.5	1
235.339	-7.68719	-6.28541	0.000502422	-0.00113672	0.266393	0.963864	0	0.8	3
235.539	-7.67638	-6.27827	0.000212589	-0.000603398	0.315576	0.9489	0.646343	-1.5	1
235.739	-7.63372	-6.24865	0.000366342	-0.000594899	0.289026	0.957321	0.702998	-1.5	1
235.939	-7.57616	-6.20483	0.000480678	-0.00109568	0.263534	0.964649	0	0.8	3
236.139	-7.53716	-6.17936	0.000216421	-0.00141867	0.261489	0.965205	0	0.8	3
236.339	-7.47405	-6.14295	0.000244576	-0.00205046	0.236707	0.971579	0	0.8	3
236.539	-7.45659	-6.14372	0.00013289	-0.000339396	0.283957	0.958837	0.748444	-1.5	1
236.739	-7.39436	-6.10661	0.000442151	-0.000926528	0.260158	0.965565	0	0.8	3
236.939	-7.34566	-6.07236	0.000248504	-0.00189147	0.236643	0.971595	0	0.8	3
237.139	-7.33942	-6.06987	0.0001072	-0.000123306	0.293574	0.955936	0.672694	-1.5	1
237.339	-7.27659	-6.03392	0.000284661	-0.000411395	0.272324	0.962206	0	0.8	3
237.54	-7.22913	-6.00301	0.000370407	-0.0014692	0.259315	0.965791	0	0.8	3
237.739	-7.17133	-5.96922	0.00038889	-0.00180506	0.229992	0.973191	0	0.8	3
237.939	-7.10628	-5.93625	0.000461364	-0.00228633	0.208536	0.978012	0	0.8	3
238.139	-7.09773	-5.92662	4.26544e-05	2.4264e-05	0.266243	0.963906	0	0.8	3
238.339	-7.06315	-5.90434	0.000425681	-0.000889574	0.310123	0.950696	0.450303	1.5	1
238.525	-6.99897	-5.84229	0.000931593	-0.00184721	0.425888	0.904774	0.549099	1.5	1
238.704	-6.96309	-5.79545	0.000671844	-0.0017451	0.393201	0.919451	0.257302	-1.14374	2
238.891	-6.90919	-5.73719	0.00103642	-0.00225009	0.423797	0.905754	0.330442	-0.727919	2
239.126	-6.83524	-5.6504	0.001495	-0.00311831	0.438176	0.898882	0.335481	-0.743888	2
239.304	-6.80458	-5.61293	0.00134121	-0.00324012	0.393423	0.919351	0.344255	-0.802553	2
239.482	-6.74627	-5.54732	0.00207563	-0.00396162	0.452821	0.89159	0.607388	1.5	1
239.693	-6.69693	-5.44145	0.00347403	-0.00533985	0.529891	0.848042	0.730836	1.5	1
239.888	-6.67133	-5.2844	0.0063988	-0.00782189	0.616612	0.787202	0.8	1.5	1
240.095	-6.59482	-5.13586	0.0100846	-0.0100351	0.691456	0.722279	0.8	1.5	1
240.297	-6.60754	-4.98602	0.0130953	-0.0134663	0.72643	0.686984	0.8	-1.5	1
240.5	-6.60245	-4.82918	0.01642	-0.0167123	0.692789	0.72076	0.8	1.5	1
240.704	-6.6157	-4.66577	0.0198318	-0.0197895	0.727584	0.685447	0.8	-1.5	1
240.904	-6.61148	-4.5089	0.0228034	-0.0233347	0.693601	0.71962	0.8	1.5	1
241.12	-6.62082	-4.34707	0.0261141	-0.026538	0.717145	0.695929	0.8	-1.5	1
241.308	-6.61279	-4.18998	0.0289779	-0.0302241	0.688414	0.724108	0.8	1.5	1
241.512	-6.62033	-4.04741	0.0324311	-0.0334403	0.71029	0.702366	0.8	-1.5	1
241.703	-6.61339	-3.93089	0.0332181	-0.0375287	0.66538	0.74482	0.8	0.462738	1
241.97	-6.61173	-3.70168	0.0417408	-0.0385111	0.737941	0.672472	0.8	0.462512	1
242.223	-6.60479	-3.51441	0.0411183	-0.0467209	0.685022	0.725859	0.8	-1.5	1
242.419	-6.59399	-3.4	0.042852	-0.0506215	0.648363	0.758437	0.8	0.464323	1
242.619	-6.57879	-3.24437	0.0474986	-0.0523201	0.669968	0.739019	0.8	1.5	1
242.814	-6.57496	-3.08659	0.0522989	-0.0540566	0.704837	0.705371	0.8	-1.5	1
243.014	-6.57004	-2.92876	0.0540372	-0.0592276	0.682361	0.726606	0.8	-1.5	1
243.214	-6.54541	-2.77352	0.0553738	-0.0643736	0.650186	0.755015	0.8	1.5	1
243.416	-6.5207	-2.61764	0.0563111	-0.0696041	0.628426	0.7727	0.8	0.387721	1
243.628	-6.49655	-2.45977	0.0598683	-0.0726443	0.643085	0.759987	0.362626	-0.406148	2
243.828	-6.48031	-2.37811	0.0562834	-0.0770926	0.594721	0.798246	0.41085	-0.749048	2
244.028	-6.45394	-2.29982	0.0524326	-0.0807837	0.548485	0.830596	0.430926	-0.692069	2
244.228	-6.40843	-2.22302	0.0488896	-0.0835266	0.508343	0.855699	0.416974	-0.317349	2
244.428	-6.37285	-2.15841	0.0468556	-0.0844955	0.488379	0.867266	0.358864	-0.175394	2
244.628	-6.35043	-2.08463	0.0462096	-0.083903	0.485705	0.868859	0.282726	0.00513188	2
244.828	-6.32465	-2.04184	0.0460569	-0.0824044	0.490933	0.866068	0	0.8	3
245.028	-6.32203	-2.04041	0.0493533	-0.0751729	0.543327	0.834691	0.220668	0.276189	2
245.228	-6.34099	-2.05021	0.0502831	-0.071169	0.570383	0.816743	0	0.8	3
245.428	-6.33683	-2.03848	0.0514487	-0.0672729	0.597236	0.797582	0.182991	0.311183	2
245.628	-6.35195	-2.04686	0.0525956	-0.0636433	0.626724	0.774855	0.134352	0.566394	2
245.828	-6.35826	-2.03808	0.0539955	-0.059052	0.660388	0.746649	0.175842	0.514396	2
246.028	-6.35539	-2.01338	0.0547629	-0.0543659	0.690512	0.719193	0	0.8	3
246.229	-6.37408	-1.99082	0.0553268	-0.0471943	0.730122	0.679436	0	0.8	3
246.428	-6.37543	-1.98645	0.0554885	-0.0399087	0.769894	0.634502	0	0.8	3
246.628	-6.36939	-1.98231	0.0550735	-0.0327642	0.807145	0.586865	0	0.8	3
246.829	-6.28155	-1.94942	0.0541243	-0.0257862	0.842132	0.535929	0.196961	0.458052	2
247.028	-6.29142	-1.92241	0.0527599	-0.0245926	0.853999	0.517008	0	0.8	3
247.228	-6.30479	-1.87957	0.0512413	-0.0235387	0.863527	0.501139	0.21575	-0.321117	2
247.428	-6.32471	-1.84329	0.0496294	-0.0284256	0.850184	0.52337	0.21457	-0.281966	2
247.628	-6.35514	-1.80787	0.0478399	-0.0314073	0.840518	0.538752	0.214296	-0.194117	2
247.828	-6.38639	-1.77219	0.0461868	-0.0311829	0.834017	0.548917	0.214083	-0.219708	2
248.028	-6.39821	-1.74326	0.0450784	-0.0308979	0.830275	0.554668	0.215061	-0.153531	2
248.228	-6.30709	-1.70671	0.0432792	-0.0309698	0.81891	0.571449	0.218778	-0.374788	2
248.428	-6.32052	-1.66669	0.0412927	-0.0312745	0.804672	0.591456	0.218929	-0.376811	2
248.628	-6.33217	-1.62487	0.0391548	-0.031786	0.78767	0.61403	0.229282	-0.466425	2
248.828	-6.41379	-1.50471	0.0368892	-0.0325046	0.765347	0.641737	0.8	-1.5	1
249.028	-6.42463	-1.37179	0.0350233	-0.0388833	0.704492	0.70778	0.770531	-1.5	1
249.228	-6.40955	-1.23326	0.0332623	-0.0455856	0.629226	0.775171	0.707913	-1.5	1
249.428	-6.36212	-1.14307	0.0324736	-0.0519746	0.54054	0.839083	0.699802	-1.5	1
249.628	-6.30994	-1.07774	0.029481	-0.0557784	0.474957	0.877744	0.362626	-0.406148	2
249.828	-6.26546	-0.99479	0.0272183	-0.0566475	0.441463	0.895076	0.362626	-0.406148	2
250.028	-6.22153	-0.939624	0.0239406	-0.058044	0.392399	0.917649	0.379754	-1.13689	2
