time	x	y	orientation_z	orientation_w	linear_vel	angular_vel
2159.24	-8.9903	-1.91762	0.634512	0.772906	0.823137	-0.264267
2159.54	-8.9458	-1.64121	0.588817	0.808203	0.823243	-0.320647
2159.74	-8.89309	-1.48737	0.557301	0.830184	0.783556	-0.247124
2159.94	-8.82869	-1.33513	0.536064	0.843969	0.816518	-0.0734007
2160.14	-8.76378	-1.16632	0.519796	0.853974	0.836223	-0.0628675
2160.44	-8.64267	-0.938209	0.502813	0.863875	0.925495	0.0677538
2160.64	-8.53805	-0.851304	0.503368	0.863384	0.91364	0.0270439
2160.84	-8.50233	-0.787495	0.510165	0.859365	0.643989	0.416159
2161.14	-8.43121	-0.64062	0.525939	0.8497	0.533403	-0.587168
2161.34	-8.39427	-0.518992	0.474161	0.879581	0.628719	-0.361606
2161.54	-8.32186	-0.413981	0.44667	0.893746	0.766912	0.066366
2161.84	-8.18437	-0.262061	0.462663	0.885311	0.623179	0.312264
2162.04	-8.11525	-0.160813	0.443946	0.894729	0.611178	-0.760599
2162.24	-8.03975	-0.0702342	0.387124	0.920628	0.630772	-0.605169
2162.44	-7.96345	0.0742003	0.402889	0.913658	0.796016	0.500007
2162.64	-7.86992	0.171181	0.383926	0.921628	0.780993	0.509035
2162.84	-7.76672	0.274002	0.396135	0.916244	0.820037	0.442827
2163.04	-7.66285	0.391522	0.427166	0.90196	0.828242	0.423079
2163.34	-7.52096	0.583714	0.459303	0.885633	0.76473	0.35828
2163.54	-7.45205	0.694765	0.467567	0.881051	0.823685	0.270851
2163.74	-7.36134	0.833612	0.477061	0.875612	0.797196	0.244945
2163.94	-7.27436	0.973071	0.485477	0.870623	0.803009	0.257203
2164.14	-7.18758	1.09916	0.492086	0.86652	0.826963	0.233486
2164.44	-7.06378	1.31428	0.498169	0.862427	0.885294	0.193166
2164.74	-6.92984	1.52527	0.499978	0.860712	0.806628	0.18901
2164.94	-6.84781	1.67256	0.50104	0.859613	0.814467	0.178891
2165.14	-6.76718	1.81825	0.501968	0.85858	0.808808	0.179409
2165.34	-6.68401	1.95001	0.505456	0.856002	0.840977	0.18334
2165.54	-6.60262	2.10101	0.506393	0.854881	0.823118	0.192061
2165.74	-6.52168	2.2498	0.50582	0.854645	0.820899	0.1656
2165.94	-6.45711	2.36251	0.505698	0.85428	0.813134	0.220728
2166.14	-6.37802	2.51131	0.510161	0.85101	0.81556	0.26957
2166.34	-6.3088	2.63418	0.533434	0.836181	0.616719	0.150366
2166.64	-6.2304	2.79676	0.558752	0.819008	0.671644	0.7015
2166.94	-6.13594	3.00459	0.562815	0.815435	0.779736	0.185787
2167.14	-6.08365	3.14724	0.559529	0.817093	0.727411	0.0336636
