time	x	y	orientation_x	orientation_y	orientation_z	orientation_w	linear_vel	angular_vel	controller_flag
79.396	0.0488736	-0.954138	0.000618772	-0.000354722	0.731464	0.68188	0.343587	1.5	1
79.597	0.0363966	-0.881451	0.000889425	-0.000364196	0.800806	0.598924	0.246367	1.5	1
79.796	-0.0818779	-0.827902	0.00113158	-0.000614641	0.853329	0.521371	0.513934	1.5	1
79.997	-0.16339	-0.721602	0.00291338	-0.00137605	0.906331	0.422557	0.525186	1.5	1
80.197	-0.290102	-0.630159	0.00522749	-0.00170157	0.947852	0.318664	0.723785	1.5	1
80.396	-0.39659	-0.550373	0.00867312	-0.00163191	0.977172	0.212268	0.8	1.5	1
80.596	-0.518737	-0.473721	0.0128999	-0.003298	0.971265	0.237626	0.8	-1.5	1
80.796	-0.670345	-0.400419	0.0167943	-0.00371085	0.973746	0.226987	0.8	1.5	1
80.996	-0.81175	-0.333517	0.020698	-0.00594927	0.962725	0.269625	0.8	-1.5	1
81.196	-0.942706	-0.245035	0.0246346	-0.00580473	0.971223	0.236822	0.8	1.5	1
81.396	-1.08582	-0.187231	0.0288949	-0.00552713	0.983611	0.177887	0.8	-1.5	1
81.596	-1.22908	-0.122084	0.0325308	-0.00812685	0.968212	0.247872	0.8	1.5	1
81.796	-1.33564	-0.0727036	0.0346362	-0.00746082	0.977282	0.208958	0.348239	-0.415818	2
81.996	-1.3827	-0.0496647	0.0345616	-0.00844971	0.971027	0.236308	0.386431	-0.441265	2
82.196	-1.44948	-0.0121138	0.0345118	-0.00971415	0.961942	0.270892	0.402525	-0.295024	2
82.396	-1.51128	0.0261755	0.03423	-0.0104376	0.955907	0.29148	0.343949	-0.12629	2
82.596	-1.56891	0.054576	0.0336233	-0.0107051	0.952301	0.303114	0.303912	-0.0417882	2
82.796	-1.6148	0.0867255	0.0327437	-0.010509	0.951556	0.305545	0.263213	0.0861499	2
82.996	-1.65457	0.114585	0.0316263	-0.00983125	0.95424	0.297201	0.230662	0.207334	2
83.196	-1.69543	0.147474	0.0303749	-0.00886115	0.959236	0.280828	0.215125	0.268538	2
83.396	-1.72787	0.167484	0.0288716	-0.00769027	0.965484	0.258744	0.19212	0.34706	2
83.596	-1.76466	0.187693	0.0275246	-0.0066863	0.970879	0.23789	0.21082	0.328858	2
83.796	-1.80059	0.150461	0.026196	-0.00586408	0.974952	0.220791	0.20757	0.337097	2
83.996	-1.8401	0.168119	0.024892	-0.00504293	0.979156	0.201515	0.223815	0.298735	2
84.196	-1.88239	0.185048	0.0236828	-0.00437419	0.982424	0.185101	0.231074	0.287006	2
84.396	-1.89618	0.188671	0.0222392	-0.00324438	0.988627	0.148699	0.146932	0.612976	2
84.597	-1.92921	0.197519	0.0205121	-0.00210898	0.993913	0.108221	0.19882	0.500852	2
84.796	-1.97132	0.205125	0.0191974	-0.00130592	0.996969	0.0753877	0.211218	0.554809	2
84.996	-1.9982	0.228815	0.0179682	-0.000610634	0.998938	0.0424212	0.210608	0.483728	2
85.196	-2.03834	0.230711	0.016591	-7.70178e-05	0.999776	0.013133	0.193121	0.445149	2
85.396	-2.0615	0.230535	0.0143341	0.000603076	0.999269	-0.0354376	0.197639	0.332002	2
85.596	-2.09788	0.231007	0.0129689	0.00081028	0.998375	-0.0554862	0	1	3
85.796	-2.11978	0.227883	0.0106515	0.001193	0.994259	-0.106459	0.210801	0.368423	2
85.996	-2.17736	0.215972	0.00944097	0.0012851	0.99015	-0.139687	0.218912	0.215839	2
86.196	-2.21961	0.204132	0.0082204	0.0011069	0.988745	-0.149383	0.222687	-0.0100132	2
86.396	-2.26172	0.191804	0.00699307	0.000930077	0.988345	-0.152064	0.224159	-0.0865648	2
86.596	-2.31658	0.189808	0.00578006	0.000696033	0.988669	-0.149998	0.225257	-0.147627	2
86.797	-2.35891	0.177835	0.00461485	0.000427404	0.990163	-0.139844	0.226368	-0.199438	2
86.996	-2.39087	0.169449	0.00379303	0.000290451	0.991297	-0.131587	0.226696	-0.211018	2
87.196	-2.42679	0.153535	0.00265257	0.000119052	0.992416	-0.122896	0.226943	-0.21107	2
87.396	-2.46956	0.144152	0.00158427	-4.94035e-05	0.995127	-0.0985891	0.231966	-0.481925	2
87.596	-2.51248	0.137308	0.000540772	-0.000158357	0.997543	-0.0700575	0.224686	-0.434547	2
87.796	-2.55551	0.135537	0.000358141	3.47588e-05	0.998628	-0.0523678	0.217624	0.116493	2
87.996	-2.59733	0.132266	0.000342517	-2.48274e-05	0.999391	-0.0348796	0.216261	-0.332865	2
88.197	-2.63866	0.130599	0.000308311	1.0509e-05	0.999931	-0.0117174	0.218196	-0.366634	2
88.397	-2.68379	0.135681	0.000348422	2.56098e-05	0.999923	0.0124147	0.21544	-0.312958	2
88.596	-2.72481	0.137323	0.000390597	4.06067e-05	0.999533	0.0305491	0.21472	-0.288721	2
88.796	-2.76572	0.14032	0.000336341	3.42393e-05	0.998864	0.047651	0.214062	-0.234043	2
88.996	-2.79995	0.141052	0.000319228	-6.16959e-05	0.998029	0.0627496	0.214079	-0.220858	2
89.196	-2.84072	0.146074	0.000318335	3.16768e-05	0.997004	0.0773535	0.215003	-0.155908	2
89.396	-2.88136	0.155786	0.000345194	5.4065e-06	0.995951	0.0898958	0.215158	-0.149726	2
89.596	-2.91333	0.160681	0.000336805	-1.8559e-05	0.996911	0.078533	0.223149	0.302965	2
