time	x	y	orientation_z	orientation_w	linear_vel	angular_vel
72.941	-0.0069371	0.0538717	0.800428	0.599428	0.357282	2.32015
73.141	-0.0414037	0.130734	0.884728	0.466106	0.406333	1.85607
73.342	-0.11692	0.216773	0.93356	0.358413	0.513823	1.44187
73.641	-0.265897	0.317966	0.971943	0.235151	0.688055	0.927682
73.841	-0.356635	0.359429	0.981521	0.191215	0.740257	0.759801
74.041	-0.4996	0.400622	0.988904	0.148186	0.767561	0.60554
74.241	-0.642984	0.425693	0.992421	0.122091	0.788398	0.517388
74.441	-0.789917	0.456802	0.994881	0.0994934	0.813127	0.522361
74.642	-0.951192	0.474203	0.996555	0.080019	0.809227	0.556796
74.842	-1.10299	0.492627	0.998296	0.0523347	0.786918	0.62882
75.141	-1.28704	0.509697	0.999366	0.0178696	0.488662	1.3
75.341	-1.38679	0.504565	0.996918	-0.0715434	0.480077	1.3
75.541	-1.4914	0.480406	0.986936	-0.157445	0.7105	0.337036
75.741	-1.63742	0.428786	0.980194	-0.194407	0.803689	0.23103
75.941	-1.79357	0.346924	0.975534	-0.215911	0.749465	0.133696
76.142	-1.91898	0.28877	0.975699	-0.214593	0.645963	-0.47764
76.341	-2.00442	0.251954	0.980674	-0.190176	0.615523	-0.697792
76.641	-2.15662	0.18789	0.988097	-0.145665	0.622148	-0.569676
76.841	-2.27425	0.157596	0.992092	-0.114291	0.612016	-0.657881
77.041	-2.39255	0.135498	0.995135	-0.0821077	0.622716	-0.511177
77.241	-2.51736	0.12879	0.996198	-0.0657599	0.62666	-0.436548
77.441	-2.63956	0.116467	0.997406	-0.0398222	0.63341	-0.922975
77.641	-2.7634	0.114157	0.997781	0.0212229	0.645342	-0.955916
77.841	-2.88231	0.13347	0.993604	0.0912065	0.654362	-0.872651
78.041	-3.01105	0.162526	0.98872	0.132496	0.682564	0.36787
78.341	-3.19679	0.208702	0.971309	0.225827	0.6825	-1.13541
78.541	-3.3071	0.271934	0.946482	0.313361	0.684939	-1.09915
78.741	-3.39024	0.28874	0.919047	0.386249	0	-1
78.941	-3.38935	0.286044	0.895375	0.438873	0	-1
79.241	-3.42215	0.286091	0.848222	0.524516	0.735059	-0.593972
