time	x	y	orientation_z	orientation_w	linear_vel	angular_vel
1.74543e+09	0.237779	0.0209097	-0.183984	0.982929	0.475699	-1.95596
1.74543e+09	0.365647	-0.0445728	-0.228479	0.973549	0.622084	1.36027
1.74543e+09	0.477979	-0.0904632	-0.149939	0.988695	0.654042	1.13503
1.74543e+09	0.602217	-0.118753	-0.0604178	0.998173	0.679569	0.950057
1.74543e+09	0.735154	-0.121014	0.057166	0.998365	0.748322	0.668213
1.74543e+09	0.932984	-0.0656287	0.201147	0.979561	0.765862	0.210251
1.74543e+09	1.14936	0.0396069	0.238403	0.971166	0.19382	0.527821
1.74543e+09	1.2776	0.107859	0.24753	0.96888	0.950989	-0.00506117
1.74543e+09	1.41208	0.183589	0.2604	0.965501	0.896329	-0.0847514
1.74543e+09	1.52552	0.250387	0.26058	0.965452	0.21583	-0.12685
1.74543e+09	1.67091	0.334675	0.258791	0.965933	0.19382	0.527821
1.74543e+09	1.53678	1.02318	0.422349	0.906433	0.55307	-1.5096
1.74543e+09	1.61055	1.10657	0.376239	0.926523	0.529833	-1.56557
1.74543e+09	1.68213	1.16566	0.286007	0.958228	0.55863	-1.62063
1.74543e+09	1.76736	1.2088	0.165058	0.986284	0.586791	-1.36802
1.74543e+09	1.92766	1.23434	-0.00645452	0.999979	0.638878	-0.899392
1.74543e+09	2.04669	1.22285	-0.0943179	0.995542	0.715785	-0.65833
1.74543e+09	2.18377	1.18832	-0.155435	0.987846	0.741042	-0.475871
1.74543e+09	2.40032	1.10048	-0.224644	0.974441	0.171976	-0.613049
1.74543e+09	2.58698	1.00067	-0.265639	0.964073	0.816226	-0.279041
1.74543e+09	2.69574	0.930831	-0.299284	0.954164	0.820826	-0.218471
1.74543e+09	2.83974	1.25836	-0.229553	0.973296	0.787298	-0.524791
1.74543e+09	3.05357	1.13701	-0.294028	0.955797	0	-1
1.74543e+09	3.15923	1.05741	-0.357106	0.934064	0.830877	-0.148627
1.74543e+09	3.30905	0.907503	-0.395387	0.918514	0.927554	0.017675
1.74543e+09	3.42946	0.778039	-0.400822	0.916156	0.236586	0.318194
1.74543e+09	3.5847	0.634371	-0.318746	0.94784	0.19382	-0.527821
1.74543e+09	3.64089	0.589208	-0.363562	0.93157	0.21583	0.12685
1.74543e+09	3.67378	0.558359	-0.371999	0.928233	0.21583	0.12685
1.74543e+09	3.63209	0.442013	-0.374551	0.927206	0.21583	0.12685
1.74543e+09	3.59077	0.34182	-0.375141	0.926968	0.19382	-0.527821
1.74543e+09	3.63919	0.295293	-0.3679	0.929865	0.21583	0.12685
1.74543e+09	3.69578	0.244032	-0.348172	0.937431	0.716109	0.942976
1.74543e+09	3.73762	0.210662	-0.308186	0.951326	0.713958	0.881936
1.74543e+09	3.87645	0.136952	-0.185403	0.982663	0.362626	0.406148
1.74543e+09	3.97662	0.103128	-0.131549	0.99131	0	1
1.74543e+09	4.11843	0.0778767	-0.0402003	0.999192	0.883467	0.191638
1.74543e+09	4.35378	0.0684891	0.00148947	0.999999	0.854707	0.0540535
1.74543e+09	4.57378	-0.154774	-0.0355177	0.999369	0.833968	0.320265
1.74543e+09	4.82264	-0.173357	-0.031804	0.999494	0.766027	0.563386
1.74543e+09	5.04105	-0.176095	0.0343922	0.999408	0.825057	0.456119
1.74543e+09	5.18546	-0.157729	0.0981254	0.995174	0.864979	0.319259
1.74543e+09	5.41275	-0.0937731	0.172025	0.985093	0.83796	0.0837985
1.74543e+09	5.56738	-0.0355207	0.180591	0.983558	0.864731	0.05197
1.74543e+09	5.81392	0.05546	0.171896	0.985115	0.726248	0.178524
1.74543e+09	6.01857	0.1309	0.183149	0.983085	0.497865	0.253145
1.74543e+09	6.11522	0.118766	0.208146	0.978098	0.393935	0.284026
1.74543e+09	6.17881	0.108417	0.24083	0.970567	0.361352	0.548644
1.74543e+09	6.22988	0.137777	0.282035	0.959404	0.308811	0.539078
1.74543e+09	6.2962	0.188282	0.366962	0.930236	0.231709	0.437624
1.74543e+09	6.32739	0.220602	0.420336	0.907368	0.186096	0.339677
1.74543e+09	6.35588	0.258216	0.471642	0.88179	0.134208	0.219747
1.74543e+09	6.37247	0.284666	0.497069	0.867711	0.100684	0.161486
1.74543e+09	6.37991	0.29765	0.506533	0.862221	0	0
1.74543e+09	6.37969	0.297267	0.50637	0.862317	0	0
1.74543e+09	6.37753	0.293436	0.500467	0.865756	0	0
1.74543e+09	6.50562	0.392384	0.495585	0.86856	0	0
1.74543e+09	6.50562	0.392384	0.495585	0.86856	0	0
1.74543e+09	6.50562	0.392384	0.495585	0.86856	0	0
1.74543e+09	6.50562	0.392384	0.495585	0.86856	0	0
1.74543e+09	6.50562	0.392384	0.495585	0.86856	0	0
1.74543e+09	6.50562	0.392384	0.495585	0.86856	0	0
1.74543e+09	6.50562	0.392384	0.495585	0.86856	0	0
1.74543e+09	6.50562	0.392384	0.495585	0.86856	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.398312	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.398312	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.398312	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.398312	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.398312	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.398312	0.511141	0.859497	0	0
1.74543e+09	6.46099	0.399171	0.511141	0.859497	0	0
1.74543e+09	6.46169	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46169	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46169	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46169	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46169	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46169	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.46013	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.45857	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.45857	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.45857	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.45857	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.45857	0.399874	0.511141	0.859497	0	0
1.74543e+09	6.45857	0.399874	0.511141	0.859497	0	0
