time	x	y	orientation_z	orientation_w	linear_vel	angular_vel
1.7453e+09	0.0224956	0.00305965	-0.00123494	0.999999	0.946324	-0.00518572
1.7453e+09	0.189523	0.00263444	-0.00106176	0.999999	0.945839	-0.00203896
1.7453e+09	0.375518	0.00197158	-0.00292441	0.999996	0.949287	0.000189321
1.7453e+09	0.610996	-0.00252793	-0.0182536	0.999833	0.939096	0.0316799
1.7453e+09	0.810666	-0.0105951	-0.0203038	0.999794	0.924106	-0.00451784
1.7453e+09	1.00033	-0.0370482	-0.0351143	0.999383	0.943085	0.0310183
1.7453e+09	1.27208	-0.0611823	-0.0287665	0.999586	0.789168	0.175834
1.7453e+09	1.51501	-0.0859375	-0.0146119	0.999893	0.537284	0.296112
1.7453e+09	1.6229	-0.0868545	0.012085	0.999927	0.419271	0.307888
1.7453e+09	1.73164	-0.0487086	0.0558365	0.99844	0.292883	0.136857
1.7453e+09	1.78131	-0.0419044	0.0819065	0.99664	0.237797	0.0667525
1.7453e+09	1.7911	-0.0559567	0.0985586	0.995131	0.227621	0.107084
1.7453e+09	1.84458	-0.0447497	0.105144	0.994457	0.173014	0.0950818
1.7453e+09	1.96263	-0.0335357	0.112727	0.993626	0	0
1.7453e+09	1.9799	-0.0295609	0.11219	0.993687	0	0
1.7453e+09	1.96806	-0.0608981	0.114116	0.993467	0	0
1.7453e+09	1.96575	-0.0614294	0.110836	0.993839	0	0
1.7453e+09	1.97798	-0.065194	0.112508	0.993651	0	0
1.7453e+09	1.97798	-0.065194	0.112508	0.993651	0	0
1.7453e+09	1.98381	-0.0587748	0.113163	0.993576	0	0
1.7453e+09	1.98381	-0.0587748	0.113163	0.993576	0	0
1.7453e+09	1.97912	-0.0618998	0.113163	0.993576	0	0
1.7453e+09	1.97912	-0.0618998	0.113163	0.993576	0	0
1.7453e+09	1.98225	-0.0603373	0.113163	0.993576	0.624758	-0.349307
1.7453e+09	1.99498	-0.0575892	0.096792	0.995305	0.866455	-0.162709
1.7453e+09	2.16048	-0.0320222	0.068678	0.997639	0.870685	-0.0399564
1.7453e+09	2.42773	0.00193803	0.0496218	0.998768	0.897809	-0.19722
1.7453e+09	2.64834	0.0505958	0.0290455	0.999578	0.93521	-0.0774525
1.7453e+09	2.82503	0.058479	0.0157156	0.999877	0.912645	-0.0306111
1.7453e+09	3.06537	0.0230565	-0.0025242	0.999997	0.943215	0.0112876
1.7453e+09	3.2452	0.0225261	0.00115205	0.999999	0.942845	0.00936095
1.7453e+09	3.47451	-0.0129733	0.00882347	0.999961	0.942893	0.0111775
1.7453e+09	3.74471	-0.00560489	0.0174826	0.999847	0.926292	-0.0693702
1.7453e+09	3.9116	0.00247937	0.00771973	0.99997	0.921806	-0.0819815
1.7453e+09	4.16061	0.00195737	-0.019184	0.999816	0.831756	0.0742285
1.7453e+09	4.41752	-0.0196188	-0.0124638	0.999922	0.924074	0.0372522
1.7453e+09	4.67405	-0.0222003	0.00362095	0.999993	0.851536	0.000273462
1.7453e+09	4.86894	-0.0176932	0.00447882	0.99999	0.847949	-0.0258422
1.7453e+09	5.04871	-0.0160828	0.00410863	0.999992	0.855097	-0.0241895
1.7453e+09	5.38012	-0.0299521	0.000898896	1	0.9303	-0.00485692
1.7453e+09	5.55246	-0.0301009	-0.00333039	0.999994	0.939896	0.0209444
1.7453e+09	5.79674	-0.0324787	-0.000484948	1	0.865094	0.069035
1.7453e+09	6.06556	-0.0316504	0.00539315	0.999985	0.891075	0.197067
1.7453e+09	6.28899	-0.0224913	0.0194417	0.999811	0.892787	0.179015
1.7453e+09	6.53303	-0.00418884	0.0583797	0.998294	0.82625	0.142232
1.7453e+09	6.69961	-0.0745769	0.0866364	0.99624	0.848731	0.105559
1.7453e+09	6.95366	-0.0238233	0.114275	0.993449	0.74957	0.354048
1.7453e+09	7.11768	0.0086622	0.147692	0.989033	0.598329	0.377471
1.7453e+09	7.27872	0.0642543	0.194848	0.980833	0.412651	0.415219
1.7453e+09	7.38017	0.130749	0.257154	0.966371	0.283243	0.29389
1.7453e+09	7.44031	0.169112	0.305045	0.952338	0.208915	0.196681
1.7453e+09	7.54422	0.251629	0.331164	0.943573	0	0
1.7453e+09	7.54135	0.247091	0.332388	0.943143	0	0
1.7453e+09	7.53491	0.241982	0.3244	0.94592	0	0
1.7453e+09	7.52921	0.261268	0.327583	0.944822	0	0
1.7453e+09	7.5295	0.261491	0.327583	0.944822	0	0
1.7453e+09	7.52279	0.2422	0.328313	0.944569	0	0
1.7453e+09	7.5228	0.239055	0.328351	0.944556	0	0
1.7453e+09	7.5228	0.239055	0.328351	0.944556	0	0
1.7453e+09	7.5228	0.238448	0.328351	0.944556	0	0
1.7453e+09	7.5228	0.237493	0.328351	0.944556	0	0
1.7453e+09	7.52341	0.237493	0.328351	0.944556	0	0
1.7453e+09	7.52437	0.237493	0.328351	0.944556	0.100727	4.09094
1.7453e+09	7.53307	0.244808	0.360903	0.932603	0.0809195	5.63454
1.7453e+09	7.54871	0.256102	0.423522	0.905886	0.14518	4.90111
1.7453e+09	7.56725	0.286899	0.565731	0.82459	0.195025	3.3087
1.7453e+09	7.53153	0.297446	0.681524	0.731796	0.276837	3.5083
1.7453e+09	7.52908	0.348137	0.767083	0.641547	0.352137	2.4162
1.7453e+09	7.48869	0.418259	0.855484	0.517829	0.444145	1.94167
1.7453e+09	7.43521	0.477598	0.904546	0.426377	0.500688	1.55046
1.7453e+09	7.31189	0.55586	0.957583	0.288158	0.65148	1.09945
1.7453e+09	7.16036	0.644636	0.995032	0.0995582	0.682872	0.624271
1.7453e+09	7.01664	0.661829	0.999743	0.0226803	0.867071	0.177659
1.7453e+09	6.8199	0.648534	0.999762	-0.0218309	0.911761	0.0518189
1.7453e+09	6.64851	0.638388	0.999369	-0.0355091	0.911182	-0.0160123
1.7453e+09	6.4754	0.626894	0.999684	-0.0251331	0.853046	-0.0358911
1.7453e+09	6.21181	0.6476	0.999961	0.00885828	0.912867	0.0737595
1.7453e+09	6.0373	0.625367	0.999998	0.00190526	0.835313	0.153759
1.7453e+09	5.77291	0.55904	0.999145	-0.0413485	0.90953	-0.0613842
1.7453e+09	5.59984	0.543158	0.998767	-0.0496514	0.850757	-0.109721
1.7453e+09	5.34261	0.439444	0.998245	-0.0592137	0.879615	-0.172413
1.7453e+09	5.06571	0.427372	0.999641	-0.0268097	0.93178	-0.0433101
1.7453e+09	4.89495	0.421394	0.999952	-0.00976906	0.961229	0.0287459
1.7453e+09	4.58745	0.41042	0.999959	-0.00906277	0.934302	0.0581562
1.7453e+09	4.40769	0.40512	0.999761	-0.0218498	0.917657	0.0498669
1.7453e+09	4.25942	0.391771	0.999277	-0.0380284	0.847766	0.0318649
1.7453e+09	3.99252	0.367878	0.998674	-0.0514801	0.922607	0.0306838
1.7453e+09	3.70998	0.329441	0.998794	-0.0491063	0.942737	0.0644261
1.7453e+09	3.53028	0.311728	0.998794	-0.0491063	0.928635	0.0770677
1.7453e+09	3.33711	0.310612	0.998522	-0.0543482	0.829444	0.0915897
1.7453e+09	3.08119	0.279824	0.997712	-0.0676013	0.920743	0.163081
1.7453e+09	2.91995	0.103069	0.994119	-0.108295	0.810958	0.0320045
1.7453e+09	2.67106	0.0452754	0.993523	-0.113631	0.718207	-0.220714
1.7453e+09	2.46916	0.0061506	0.996722	-0.0808966	0.506839	-0.237712
1.7453e+09	2.32532	0.0171546	0.999422	-0.0340009	0.356048	-0.161668
1.7453e+09	2.26323	0.0143485	0.999958	-0.0091571	0.279654	0.0167801
1.7453e+09	2.16765	-0.046936	0.999998	-0.00203526	0.187147	-0.377216
1.7453e+09	2.13394	-0.047063	0.999998	0.00204923	0.150814	-0.474551
1.7453e+09	2.10112	-0.012807	0.999532	0.0306035	0.109658	-0.138317
1.7453e+09	2.08092	-0.0107901	0.997373	0.0724338	0	0
1.7453e+09	2.07019	0.0319215	0.996723	0.0808927	0	0
1.7453e+09	2.07608	0.0310245	0.997584	0.0694711	0	0
1.7453e+09	2.03994	-0.00166788	0.997366	0.0725283	0	0
1.7453e+09	2.03541	-0.0202041	0.997373	0.0724431	0	0
1.7453e+09	2.03541	-0.0202041	0.997373	0.0724431	0	0
1.7453e+09	2.03549	9.22951e-05	0.997366	0.072531	0	0
1.7453e+09	2.03549	9.22951e-05	0.997366	0.072531	0	0
1.7453e+09	2.03549	-0.0092827	0.997366	0.072531	0	0
1.7453e+09	2.03531	-0.00925686	0.997484	0.0708852	0.034223	3.91492
1.7453e+09	2.03113	-0.0226574	0.999892	0.0146888	0.0726212	4.61888
1.7453e+09	2.00919	-0.0250252	0.991969	-0.126478	0.192962	4.47334
1.7453e+09	1.98247	-0.0354732	0.968647	-0.248443	0.0367974	3.7229
1.7453e+09	2.005	0.0390268	0.935277	-0.353916	0.102001	3.48089
1.7453e+09	1.9932	0.0262402	0.889349	-0.45723	0.185873	3.37177
1.7453e+09	1.94349	-0.0686303	-0.829089	0.559117	0.230783	2.95309
