time	x	y	orientation_z	orientation_w	linear_vel	angular_vel
2158.43	-8.99855	-1.92518	0.685256	0.728301	0.53791	-0.327772
2158.73	-8.97994	-1.71405	0.656036	0.754694	0.829806	-0.375269
2158.93	-8.95581	-1.55218	0.628698	0.777554	0.833477	-0.32862
2159.13	-8.92137	-1.39217	0.599023	0.800553	0.874386	-0.275714
2159.33	-8.87211	-1.22742	0.567576	0.823033	0.891047	-0.25079
2159.63	-8.76871	-0.959189	0.516619	0.855704	0.980164	-0.332738
2159.83	-8.69446	-0.78203	0.482491	0.875202	0.964393	-0.349519
2160.03	-8.59321	-0.617731	0.458736	0.887654	0.995037	-0.198895
2160.24	-8.47299	-0.487086	0.443215	0.895249	0.987578	-0.167497
2160.53	-8.30909	-0.269393	0.435107	0.898829	0.86021	0.094303
2160.83	-8.1867	-0.12038	0.438619	0.896786	0.873638	0.133287
2161.03	-8.08182	0.0172377	0.443277	0.894202	0.861433	0.133075
2161.33	-7.92839	0.225265	0.448763	0.89099	0.860895	0.120592
2161.53	-7.83585	0.358186	0.451567	0.88923	0.874661	0.0879301
2161.83	-7.68439	0.570454	0.452183	0.888353	0.868322	0.113079
2162.03	-7.58515	0.70113	0.454628	0.886717	0.862951	0.0973629
2162.23	-7.48836	0.843452	0.454877	0.886172	0.875271	0.0850212
2162.43	-7.39311	0.983356	0.4551	0.885633	0.866762	0.109607
2162.63	-7.30694	1.1187	0.456256	0.884598	0.838361	0.114486
2162.83	-7.21288	1.25584	0.456918	0.883807	0.831629	0.0904791
2163.03	-7.11907	1.39574	0.45773	0.882905	0.845653	0.0981108
2163.23	-7.0471	1.50046	0.457812	0.882514	0.860309	0.132967
2163.53	-6.90275	1.71074	0.460689	0.880231	0.852811	0.140545
2163.73	-6.80761	1.85113	0.463535	0.878179	0.861342	0.170938
2163.93	-6.72216	1.97189	0.470917	0.87368	0.844829	0.183152
2164.23	-6.59724	2.16958	0.47756	0.869296	0.703326	0.168056
2164.43	-6.5107	2.28739	0.480024	0.867573	0.620804	0.176529
2164.73	-6.42026	2.43804	0.489943	0.861634	0.579572	0.212502
2164.93	-6.37051	2.5184	0.500301	0.855486	0.484065	0.201803
2165.13	-6.3259	2.60059	0.509793	0.849782	0.456754	0.268332
2165.33	-6.25781	2.67888	0.517168	0.845294	0.412093	0.273093
2165.53	-6.17216	2.75451	0.522473	0.842034	0.369107	0.261756
2165.73	-6.14931	2.80368	0.531918	0.836137	0.349605	0.288829
2165.93	-6.12919	2.84924	0.54089	0.830552	0	0
2166.13	-6.11715	2.85688	0.540414	0.831268	0	0
2166.33	-6.11707	2.85711	0.540607	0.831539	0	0
2166.53	-6.10973	2.87441	0.545248	0.828859	0	0
2166.73	-6.09712	2.91099	0.552852	0.824142	0.205032	0.254791
2166.93	-6.08392	2.94624	0.563919	0.816908	0.182138	0.243001
2167.13	-6.07752	2.96445	0.563907	0.817244	0.20114	-0.0153383
2167.33	-6.0437	3.03832	0.55583	0.822781	0.410335	-0.0898019
2167.53	-6.0263	3.09479	0.551338	0.825925	0.190511	0.161568
2167.73	-6.01986	3.11252	0.549384	0.827543	0.190568	-0.0469968
2167.93	-5.97039	3.20353	0.537134	0.835465	0.566163	-0.19516
2168.13	-5.9242	3.31783	0.512181	0.850685	0.602349	-0.246347
2168.33	-5.87617	3.42519	0.487952	0.864425	0.947636	-0.40566
2168.63	-5.73811	3.69094	0.428816	0.894084	0.944622	-0.4303
2168.83	-5.64863	3.85408	0.395924	0.908405	0.964391	-0.500181
2169.03	-5.53377	3.98786	0.372736	0.917491	0.874194	-0.299441
2169.23	-5.40975	4.10865	0.348554	0.926307	0.854084	-0.401461
2169.43	-5.32002	4.22544	0.328161	0.933124	0.834145	-0.503414
2169.63	-5.19939	4.32474	0.297241	0.942873	0.749787	-0.464796
2169.83	-5.05462	4.42534	0.302577	0.940465	0.929505	0.078567
2170.03	-4.93684	4.53231	0.322004	0.933196	0.944788	0.0954854
2170.23	-4.79132	4.63954	0.333462	0.928374	0.896789	0.0752091
2170.43	-4.65207	4.74314	0.345272	0.923332	0.850164	0.0858783
2170.63	-4.56159	4.80142	0.377801	0.910197	0.769268	0.131403
2170.83	-4.47137	4.87628	0.386109	0.906511	0.81943	0.152427
2171.03	-4.35765	4.9717	0.39919	0.900626	0.63785	0.141467
2171.23	-4.19684	5.03783	0.399703	0.900377	0.488894	0.178123
2171.43	-4.09418	5.07791	0.408778	0.896446	0.344514	0.236481
2171.63	-4.02378	5.12585	0.426619	0.888225	0.413626	0.307472
2171.83	-3.92838	5.18647	0.448832	0.877298	0.504388	0.391039
2172.03	-3.84455	5.25854	0.474585	0.863626	0.527014	0.512169
2172.23	-3.76486	5.33418	0.505801	0.845713	0.489117	0.55272
2172.43	-3.65253	5.44839	0.533131	0.828592	0.785468	0.475069
2172.63	-3.59266	5.58865	0.549698	0.817548	0.756876	0.440582
2172.83	-3.53859	5.73132	0.567017	0.805504	0.749415	0.482477
2173.03	-3.45911	5.89558	0.58834	0.789904	0.762973	0.500127
2173.23	-3.42006	6.04191	0.60497	0.777074	0.755207	0.488694
2173.43	-3.39473	6.15208	0.615008	0.768971	0.766025	0.468342
2173.63	-3.31903	6.29478	0.631004	0.755618	0.792059	0.455496
2173.83	-3.29826	6.45108	0.641601	0.746315	0.798649	0.436516
2174.03	-3.28462	6.60645	0.649509	0.739137	0.785136	0.36053
