time	x	y	orientation_z	orientation_w	linear_vel	angular_vel
81.501	0.000662776	0.0778108	0.802829	0.596208	0.374935	2.36206
81.702	-0.0365597	0.157053	0.887624	0.460567	0.46748	2.03076
82.001	-0.140902	0.272529	0.943197	0.332218	0.534577	1.54612
82.301	-0.293596	0.362479	0.977829	0.209319	0.692118	0.879284
82.602	-0.503665	0.413716	0.990238	0.138988	0.713456	0.640449
82.901	-0.722386	0.457549	0.994828	0.100286	0.810042	0.519781
83.101	-0.874574	0.482725	0.99676	0.0778765	0.809808	0.52994
83.301	-1.02808	0.496645	0.998321	0.0526493	0.794616	0.648222
83.501	-1.17799	0.505744	0.999451	0.0175069	0.76627	0.653362
83.801	-1.37632	0.497626	0.996433	-0.0775016	0.619861	1.3
84.001	-1.50712	0.467095	0.988247	-0.148442	0.730451	0.333996
84.201	-1.68952	0.403064	0.979974	-0.194617	1.04919	0.409119
84.401	-1.8291	0.342857	0.973583	-0.223537	0.972973	0.201308
84.601	-1.99112	0.253553	0.974918	-0.2166	0.799473	-0.862405
84.801	-2.13454	0.196238	0.985325	-0.161559	0.786578	-0.938164
85.001	-2.28341	0.166369	0.990926	-0.120734	0.799324	-0.708092
85.201	-2.43554	0.141181	0.994438	-0.0842248	0.790528	-0.75977
85.401	-2.5912	0.122121	0.996593	-0.0467273	0.8061	-0.599693
85.601	-2.7465	0.114854	0.997074	0.0228378	0.826698	-1.23159
85.801	-2.90742	0.134879	0.991152	0.107179	0.838997	-1.157
86.101	-3.14052	0.169415	0.980804	0.1754	0.671302	-1.09298
86.301	-3.25599	0.21439	0.961358	0.260835	0.674663	-1.14443
86.501	-3.38194	0.250086	0.968099	0.23356	0.741171	-0.700689
86.701	-3.45431	0.244549	0.917685	0.387029	0	-3
86.901	-3.45393	0.235291	0.834425	0.544489	0	-3
87.101	-3.48254	0.333878	0.793698	0.602026	0.863291	-0.292196
87.301	-3.52254	0.480858	0.792509	0.602811	0	-3
87.501	-3.53846	0.539726	0.713291	0.694687	0.897794	0.0751238
87.701	-3.54598	0.717308	0.725659	0.680364	0.889962	0.104929
88.002	-3.56214	1.01327	0.719909	0.684881	0.993427	-0.509612
88.201	-3.56677	1.14549	0.715796	0.688131	0.9135	0.0259575
88.401	-3.57874	1.30319	0.71805	0.684684	0.913416	0.0254744
88.701	-3.58941	1.57795	0.711807	0.689385	0.926883	-0.0167744
88.901	-3.59153	1.71769	0.71346	0.686452	0.926651	-0.0134506
89.101	-3.59515	1.90833	0.702112	0.696727	0.924658	-0.0102311
89.301	-3.59488	2.07914	0.702348	0.695211	0.909508	0.0405629
89.501	-3.59667	2.21431	0.702766	0.693767	0.902297	0.0623517
89.701	-3.59965	2.39455	0.703507	0.691634	0.904239	0.0559714
89.901	-3.60365	2.54544	0.701808	0.692171	0.901099	0.0657995
90.101	-3.60679	2.7243	0.701654	0.691583	0.892429	0.097391
90.301	-3.61004	2.9041	0.70166	0.690912	0.905746	0.0507024
90.501	-3.61287	3.0759	0.700468	0.691436	0.904129	0.0547379
90.701	-3.61583	3.25459	0.700924	0.6903	0.88267	0.13757
90.901	-3.61933	3.43352	0.701694	0.688824	0.897148	0.0828542
91.101	-3.62323	3.63014	0.701944	0.687855	0.90474	0.0533149
91.301	-3.62735	3.81113	0.70256	0.686534	0.907585	0.0436672
91.501	-3.64063	3.98221	0.739855	0.646499	0.8416	1.11738
91.701	-3.66905	4.15615	0.771596	0.607755	0.773487	0.744375
91.901	-3.70948	4.30037	0.806624	0.559409	0.760568	0.782357
92.101	-3.67185	4.44029	0.836425	0.512824	0.764313	0.755539
92.301	-3.74711	4.57186	0.871597	0.449858	0.735745	0.742805
92.501	-3.71038	4.73059	0.899505	0.390657	0.779749	0.625245
92.701	-3.82341	4.84203	0.918514	0.342877	0.784521	0.540557
92.901	-3.82532	4.9949	0.931861	0.304043	0.81396	0.409304
93.101	-3.95979	5.08789	0.939846	0.277361	0.823721	0.337969
93.301	-4.09376	5.17135	0.943763	0.26272	0.862899	0.28516
93.501	-4.17834	5.30767	0.946781	0.25042	0.858783	0.243494
93.701	-4.32372	5.38765	0.949696	0.23782	0.854446	0.312254
93.901	-4.46791	5.46186	0.952282	0.226027	0.850694	0.315139
94.101	-4.59769	5.56196	0.954281	0.216029	0.845656	0.295172
94.301	-4.74343	5.62897	0.956601	0.204492	0.855993	0.404368
94.501	-4.85337	5.67612	0.959199	0.19155	0.849016	0.340459
94.701	-5.0049	5.77142	0.961233	0.180093	0.853041	0.351796
94.901	-5.15623	5.82733	0.963851	0.164908	0.807939	0.458568
95.101	-5.3013	5.87502	0.966778	0.14675	0.745512	0.199735
95.301	-5.43451	5.93931	0.966836	0.146416	0.604742	0.273488
95.501	-5.54007	5.97087	0.968479	0.136408	0.490255	0.322354
95.701	-5.62664	5.99456	0.970771	0.121458	0.398344	0.355069
95.901	-5.70992	6.03576	0.973646	0.0998887	0.310704	0.496016
96.101	-5.7661	6.04635	0.976879	0.0685219	0.252946	0.52416
96.301	-5.84055	6.06194	0.979028	0.0399825	0.206585	0.537575
96.501	-5.87338	6.06432	0.980448	-0.00565025	0.148908	0.725988
96.701	-5.90205	6.06374	0.979456	-0.0568826	0.122735	0.731047
96.901	-5.9386	6.06824	0.975741	-0.108408	0.0944481	0.967587
